,cnterNm,cnterOperSe,rdnmadr,lnmadr,latitude,longitude,ar,fondYm,carHoldCo,trtmntPrdlst,operInstitutionNm,operPhoneNumber,rprsntvNm,weekdayOperOpenHhmm,weekdayOperColseHhmm,holidayOperOpenHhmm,holidayCloseOpenHhmm,rstdeInfo,asSvcIfo,homepageUrl,phoneNumber,institutionNm,referenceDate,insttCode
0,보령시 공공재활용 기반시설,위탁,충청남도 보령시 해안로 543,충청남도 보령시 남곡동 1145-8,36.33793953,126.5385437,736,2008-08,1,"플라스틱류, 스티로폼, 캔 등",삼원환경산업㈜,041-931-1420,남궁훈,09:00,18:00,00:00,00:00,"일요일,공휴일",재활용품 선별,없음,041-930-3676,충청남도 보령시,2021-04-01,4510000
1,동구자원재활용센터,위탁,대구광역시 동구 공항로31길 26(불로동),대구광역시 동구 불로동 866-9,35.903514,128.6309954,3667.9,1999-07,34,플라스틱+캔+유리병 등,㈜유창알앤씨,053-985-3840,성기원,08:00,17:00,08:00,12:00,일요일,,,053-662-2723,대구광역시 동구청,2021-05-25,3420000
2,대영기업,위탁,울산광역시 남구 여천로 174,울산광역시 남구 여천동 1460,35.52604103,129.3528164,2288.29,1991-12,13,"합성수지, 파지, 고철외",대영기업,052-260-9944,김영효,08:00,17:30,08:00,17:30,매주일요일,,,052-241-7812,울산광역시 북구청,2021-06-30,3720000
3,진주시재활용품선별장,위탁,경상남도 진주시 내동면 유수길 75번길 27,경상남도 진주시 내동면 유수리 1014,35.1223113352,128.0145496,1750,2011-01,0,"종이류, 종이팩, 플라스틱, 유리병류, 스티로폼, 필름류 등",㈜진사재활용,055-749-2279,강시근,07:00,16:00,07:00,16:00,일요일,,,055-749-5181,경상남도 진주시청,2021-07-02,5310000
4,안동시 재활용품선별장,직영,경상북도 안동시 배고개길 84,경상북도 안동시 수하동 742-1,36.5486584353,128.6716658059,680,1997-06,20,스티로폼+플라스틱 등 재활용 자원,안동시청,054-840-3880,안동시장,09:00,18:00,00:00,00:00,"매주 토, 일요일",없음,없음,054-840-3880,경상북도 안동시청,2021-06-30,5070000
5,사상구재활용센터,위탁,부산광역시 사상구 백양대로 858(모라동),부산광역시 사상구 모라동 1365-3,35.18310703,128.989651,264,1995-03,1,"가구, 가전제품 등",오병선,051-315-9721,오병선,09:00,18:30,09:00,18:30,"매주일요일, 설·추석 공휴일",판매일로부터 6개월 이내 무상 수리,,051-310-4452,부산광역시 사상구청,2021-06-16,3390000
6,줄포환경센터,직영,전라북도 부안군 줄포면 분탕골로 215-34,전라북도 부안군 줄포면 줄포리 1034-17,35.58707426,126.6600257,88072,1996-03,10,"폐지,알루미늄 등",부안군청,063-580-3911,권익현,09:00,16:00,09:00,12:00,연중무휴,,,063-580-3911,전라북도 부안군청,2021-06-21,4790000
7,남구재활용센터,위탁,부산광역시 남구 석포로 126번길 4(대연동),부산광역시 남구 대연동 967-1,35.1281561951,129.0913237460,132,2021-01,1,가구+가전제품,민간운영,051-624-7282,,09:30,19:00,09:30,19:00,,,,051-607-4451,부산광역시 남구청,2021-06-10,3310000
8,동아재활용센터,위탁,부산광역시 남구 동명로115-1(용호동),부산광역시 남구 용호동 413-13,35.12021396,129.1097956,40,2021-01,1,가전제품,민간운영,051-626-1713,,09:00,20:00,09:00,20:00,,,,051-607-4451,부산광역시 남구청,2021-06-10,3310000
9,용성가전에어컨,위탁,부산광역시 남구 용호로109번길3(용호동),부산광역시 남구 용호동366-8,35.12249262,129.112594,66,2021-01,1,가전제품,민간운영,051-628-7704,,08:00,18:00,08:00,18:00,일요일,,,051-607-4451,부산광역시 남구청,2021-06-10,3310000
10,대정읍 동일1리 재활용 도움센터,직영,제주특별자치도 서귀포시 대정읍 동일하모로 90,제주특별자치도 서귀포시 대정읍 동일리 2829-3,33.2285266502,126.241454874,99.89,2017-07,0,생활쓰레기 배출,제주특별자치도 서귀포시,064-760-3201,양윤경,06:00,22:00,06:00,22:00,없음,null,null,064-760-3201,제주특별자치도 서귀포시청,2019-05-31,6520000
11,평창군 자원회수센터,직영,강원도 평창군 미탄면 서동로 3391-27,강원도 평창군 미탄면 창리 1006,37.342343,128.473812,1159,2019-04,0,"재활용품(폐지, 철캔, 알루미늄캔, 고철, PET, PS, PP, PE, 스티로폼, 공병)",평창군청,033-330-2059,평창군수,09:00,18:00,00:00,00:00,-,-,-,033-330-2059,평창군,2019-05-24,4280000
12,공공재활용기반시설,위탁,충청남도 부여군 장암면 북고로 201,충청남도 부여군 장암면 북고리 551-1,36.2321326139,126.9163324003,1945.14,2013-05,3,PET+PE+PP+PS+EPS인고트+유리병+폐지+우유팩+철캔 등,엠엔테크,041-837-6470,오명석,09:00,18:00,00:00,00:00,매주토요일+일요일+공휴일,,,041-830-2308,충청남도 부여군청,2020-09-30,4570000
13,종합리싸이클링타운,위탁,전라북도 전주시 완산구 삼산길 51-24,전라북도 전주시 완산구 삼천동3가 749-5,35.79982581,127.0736932,44160,2016-09,0,"플라스틱류, 고철.캔,유리병, 비닐류 등",전주리싸이클링에너지㈜,063-250-8035,최성욱,08:00,17:00,08:00,17:00,"토(격주),일, 명절",,,063-281-8452,전라북도 전주시청,2021-08-26,4640000
14,합천군재활용선별장,위탁,경상남도 합천군 대양면 합천대로 2586-51,경상남도 합천군 대양면 정양리 18-1,35.54941673,128.1734842,850,2021-04,1,플라스틱+유리병+고지 등 재활용 전품목,환경시설관리주식회사+(주)영원종합건설,055-931-9285,임추섭+오수춘,09:00,18:00,00:00,00:00,주말+공휴일,,,055-930-3304,환경위생과,2021-08-24,5480000
15,해남군 재활용품 선별시설,직영,전라남도 해남군 해남읍 호교길 73-265,전라남도 해남군 해남읍 복평리 893-1,34.56720876,126.5376835,1044.01,2021-01,3,재활용품 선별,해남군청,061-530-5769,해남군수,09:00,18:00,00:00,00:00,,,www.haenam.go.kr,061-530-5769,해남군수,2021-08-13,4930000
16,강북구재활용센터,위탁,서울특별시 강북구 노해로 70,서울특별시 강북구 수유동 188-26,37.64183139,127.022653,316.6,2021-09,2,중고가구가전,강북구재활용센터,02-992-8425,김승일,09:30,19:30,09:30,19:30,연중무휴,6개월,https://www.rety.co.kr/shop/shop.asp?code=AF12,02-901-6764,강북구청,2021-08-18,3080000
17,홍성군 생활폐기물종합처리장,직영,충청남도 홍성군 홍북읍 홍덕서로328,충청남도 홍성군 홍북읍 중계리525,36.6218581770,126.6265758575,133363,2007-08,5,플라스틱 외 6품목,홍성군,041-630-9830,김석환,09:00,18:00,09:00,13:00,매주일요일,,www.hongseong.go.kr,041-630-9830,충청남도 홍성군,2021-07-31,4600000
18,금천구재활용센터,위탁,서울특별시 금천구 시흥대로 182,서울특별시 금천구 시흥동 903-5,37.45017338,126.9027728,661,1995-07,1,"가전제품류, 가구류, 의류, 도서 등",㈜시흥가구백화점,02-802-7282,권지섭,09:00,21:00,09:00,21:00,,,,02-2627-1484,서울시 금천구청,2021-08-13,3170000
