"시도(1)",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시도(1)",매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),매립량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명),매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),매립량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명),매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),매립량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명),매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),매립량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명),매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),매립량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명),매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),매립량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명),매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),매립량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명),매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),매립량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명),매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),매립량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명),매립지수 (개소),총매립지 면적 (m²),총매립 용량 (m³),기매립량(전년도 매립량 포함) (m³),잔여매립가능량 (m³),매립량 (m³),매립량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),매립지 관리인원 (명)
"시도(1)",소계,소계,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계
"합 계",229,30434566,410932964,200773831,210159133,12599628,7579155,2995122,693101,2196750,105271,576903,1394,222,31320258,424340883,209120431,215220452,9324133,8116562,3369796,764891,2387878,217027,379758,1338,223,31235065,426813642,213531069,213282573,7015498,6337042,3296575,727708,2404065,164802,466558,1396,221,31932018,431259526,218373143,212886383,7098677,6313890,3326495,743087,2436539,146869,426865,1349,226,27874777,419447177,224382169,195065008,6903888,6357893,3499651,798110,2473123,228418,403641,1352,225,27110779,481412517,229319376,252093141,7235156,6603775,3574310,824107,2497974,252229,431789,1429,221,26956988,482360247,237036883,245323364,7817031,6589250,3658359,860412,2533769,264178,795170,1479,220,26960516,483414496,244543291,238871205,7477102,6681138,3652037,860006,2536178,255853,1478493,1388,218,26744838,480221830,264592715,215629115,7643736,6435971,3840425,868164,2711415,260846,817033,1487,215,26395203,480951064,268712604,212238460,7597681,5933530,3853218,877858,2754710,220650,578413,1447
"부산",1,747922,24494000,12781728,11712272,310994,279895,363802,88663,275139,0,3741,48,1,747922,24494000,13296449,11197551,514721,283097,363802,88663,275139,0,4228,48,1,747922,24494000,13240816,11253184,519345,285640,363802,88663,275139,0,4220,48,1,747922,24494000,13749359,10744641,508543,277104,363802,88663,275139,0,4220,48,1,747922,24494000,14052995,10441005,303636,316872,363802,88663,275139,0,8474,52,1,747922,24494000,14362597,10131403,309602,322487,363802,88663,275139,0,8474,52,1,747922,24494000,14672214,9821786,309617,322502,363802,88663,275139,0,7759,52,1,747922,24494000,14963646,9530354,291432,303561,363802,88663,275139,0,4363,31,1,747922,24494000,17968244,6525756,290483,302572,363802,88663,275139,0,4761,31,1,747922,24494000,15566090,8927910,311961,232256,363802,88663,275139,0,4914,31
"대구",1,585334,9224941,9040442,184499,51979,103958,23168,0,23168,0,6539,55,1,853400,32378541,10016312,22362229,326258,554509,202449,27458,174991,0,5804,55,1,853400,32378541,10343941,22034600,327629,556840,202449,27458,174991,0,6412,54,1,853400,32378541,10600417,21778124,256476,435907,202449,27458,174991,0,6821,54,1,853400,32378541,10904943,21473598,304526,466987,202449,27458,174991,0,6366,55,1,853400,32378541,11553846,20824695,648903,494887,202449,27458,174991,0,6803,54,1,853400,32378541,11990635,20387906,436789,357522,202449,27458,174991,0,6792,54,1,853400,32378541,12291484,20087057,300849,282104,202449,27458,174991,0,7832,54,1,853400,32378541,12615652,19762889,324168,301056,214894,19591,195303,0,7933,59,1,853400,32378541,12971602,19406939,355950,322243,214894,19591,195303,0,8634,52
"인천",5,19793391,262536679,110562944,151973735,3845186,3762466,378212,2400,375812,0,275320,220,5,19793391,245809381,115894824,129914557,4952324,4142707,378212,2400,375812,0,275330,220,5,19793391,245809381,119050213,126759168,3155389,3081509,378212,2400,375812,0,371711,242,5,19793391,245809381,122390535,123418846,3340322,3142583,378212,2400,375812,0,306348,249,5,16189575,230700094,125566131,105133963,3175596,3057690,378212,2400,375812,0,300779,248,5,15412864,289347381,128839335,160508046,3273304,3334845,378212,2400,375812,0,250200,248,5,15418818,289347381,132285924,157061457,3446589,3213540,378212,2400,375812,0,332940,250,5,15418818,289347381,135686619,153660762,3400695,3274656,378212,2400,375812,0,426271,253,5,15335735,289347381,153323162,136024219,3551310,3117779,501698,2400,499298,0,441081,325,5,15335735,289347381,156889120,132458261,3565970,2879634,501569,2386,499183,0,459971,350
"광주",2,263966,2924906,2634605,290301,233269,675548,92544,28138,62356,2050,3015,39,2,263966,2924906,2846234,78672,211629,148411,92544,28138,62356,2050,2654,-,1,177790,4220000,1977225,2242775,187897,131528,104338,24789,79549,0,3186,28,1,644159,9480000,1868000,7612000,122024,85416,156200,46860,109340,0,870,27,1,337860,9480000,2056242,7423758,172488,120742,156200,46860,109340,0,3186,28,1,337860,9480000,2254507,7225493,198265,138786,156200,46860,109340,0,2647,28,1,337860,9480000,2487785,6992215,233278,163295,156200,46860,109340,0,3186,28,1,337860,9480000,2656795,6823205,169010,118307,156200,46860,109340,0,3134,32,1,337860,9480000,2967878,6512122,332132,236653,156200,46860,109340,0,3647,31,1,337860,9480000,3549399,5930601,581520,210767,156200,46860,109340,0,3832,32
"대전",1,680256,8762063,6576696,2185367,249500,249500,154158,8043,146115,0,4668,41,1,608256,8762063,6841495,1920568,262750,183852,154158,8043,146115,0,5562,40,1,608256,8762000,7087807,1674193,246312,171674,154158,8043,146115,0,4426,39,1,707515,8762000,7369247,1392753,281440,261803,154158,8043,146115,0,4492,39,1,707515,8762000,7650683,1111317,281436,261803,154158,8043,146115,0,4492,39,1,695788,8762000,5715602,3046398,255399,220154,154158,8043,146115,0,5032,39,1,695877,8762000,6387069,2374931,671467,341826,154158,8043,146115,0,6031,40,1,695877,8762000,6692071,2069929,305002,333379,154158,8043,146115,0,5470,46,1,695788,8762000,6929103,1832897,246329,299879,154858,8253,146605,0,5977,48,1,695788,8762000,7233887,1528113,254150,323741,154158,8043,146115,0,6598,49
"울산",2,288263,5271656,4303548,968108,199226,174104,29141,2801,26340,0,2099,28,2,288263,5271656,4441514,830142,137966,105706,28095,2801,25294,0,2713,29,2,360276,7064656,4171667,2892989,125667,113000,35166,6489,0,28677,2195,35,2,360276,7064656,4275306,2789350,103639,93945,1527,1527,0,0,323,17,2,360276,7064656,4344601,2720055,69295,76224,107660,19398,17197,71065,1049,16,2,360276,7064656,4418472,2646184,73871,71602,107660,19398,17197,71065,914,16,2,360276,7064656,4596244,2468412,177772,136363,107660,19398,17197,71065,911,16,2,360276,7064656,4888492,2176164,197144,117189,107660,19398,17197,71065,911,16,1,158500,2615000,828004,1786996,226288,127340,90463,19398,0,71065,1124,16,1,158500,2615000,982276,1632724,154272,95884,90463,19398,0,71065,1608,16
