"시도(1)",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시도(1)",시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),잔재물발생및처리현황 (톤),설치비 (백만원),설치비 (백만원),설치비 (백만원),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal),에너지이용실태 (Gcal)
"시도(1)",소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,에너지발생량,외부공급,외부공급,외부공급,자체 사용,자체 사용,자체 사용,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,에너지발생량,외부공급,외부공급,외부공급,자체 사용,자체 사용,자체 사용,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,에너지발생량,외부공급,외부공급,외부공급,자체 사용,자체 사용,자체 사용,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,에너지발생량,외부공급,외부공급,외부공급,자체 사용,자체 사용,자체 사용,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,에너지발생량,외부공급,외부공급,외부공급,자체 사용,자체 사용,자체 사용,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,에너지발생량,외부공급,외부공급,외부공급,자체 사용,자체 사용,자체 사용,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,에너지발생량,외부공급,외부공급,외부공급,자체 사용,자체 사용,자체 사용,소계,소계,소계,소계,계,국비,지방비,기타,소계,소계,에너지발생량,외부공급,외부공급,외부공급,자체 사용,자체 사용,자체 사용,소계,소계,소계,소계,계,재활용,소각,매립,계,국비,지방비,기타,소계,소계,에너지발생량,외부공급,외부공급,외부공급,자체 사용,자체 사용,자체 사용,소계,소계,소계,소계,계,재활용,소각,매립,기타,계,국비,지방비,기타,소계,소계,에너지발생량,외부공급,외부공급,외부공급,자체 사용,자체 사용,자체 사용
"시도(1)",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,열공급,전력공급,소계,열사용,전력사용,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,열공급,전력공급,소계,열사용,전력사용,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,열공급,전력공급,소계,열사용,전력사용,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,열공급,전력공급,소계,열사용,전력사용,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,열공급,전력공급,소계,열사용,전력사용,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,열공급,전력공급,소계,열사용,전력사용,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,열공급,전력공급,소계,열사용,전력사용,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,열공급,전력공급,소계,열사용,전력사용,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,열공급,전력공급,소계,열사용,전력사용,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,열공급,전력공급,소계,열사용,전력사용
"합계",176,16081,19,3795612,3422440,679722,2153348,589371,355828,2897,8472253,4079929,3877227,202702,3563545,2764128,799417,173,16317,20,3963740,3678081,721147,2322112,634823,382362,3163,8431715,4170822,3802948,367874,3238453,2428536,809917,184,17207,20,4337568,3896873,793510,2333248,770116,400154,3491,9295220,5161518,4609883,551635,4093311,3231090,862221,182,16739,20,4199896,3897580,795840,2285738,816002,411649,3505,8515849,4636552,3852703,783849,3473866,2651206,822660,184,16769,21,4394962,4108395,889248,2294162,924985,445352,3581,8894162,4579423,3878135,701288,4074138,3029203,1044936,186,17238,21,4582405,4149671,834360,2296804,1018508,444863,3753,9224013,4931906,4515332,416574,4178354,2792834,1385521,184,17581,21,4652412,4305063,873873,2448301,982890,486043,3752,9382390,5232494,4872695,359799,3974238,3017531,956707,178,16994,21,4567026,4187726,921640,2341471,924615,507228,3777,9602740,5350375,4958867,391508,4006994,2989466,1017528,178,17124,21,4563156,779487,154820,22278,602389,4173152,915836,2305115,952201,527869,3735,9379828,5259830,4853512,406318,3987151,3061787,925364,180,18609,21,4599617,785523,185591,0,593081,6851,4730808,1223515,2448911,1058382,615664,3998,9519152,5258294,4791034,467260,5803402,3046237,2757165
"서울",5,2898,21,718284,415823,61302,326821,27700,39870,228,1668955,1371260,1363015,8245,297695,280493,17202,5,2898,24,741018,401410,46900,326821,27689,59348,311,1732728,1142450,1141584,866,358414,350827,7587,5,2898,24,838821,401410,46900,326821,27689,59859,311,1571657,1166267,1165401,866,405390,397803,7587,5,2898,24,794528,401410,46900,326821,27689,60290,312,1376838,1080207,1080207,0,257621,257621,0,4,1998,24,514466,300330,46900,225741,27689,42034,241,826286,598743,598743,0,227543,194174,33369,5,2898,24,763049,401410,0,373721,27689,59064,316,1616422,1264056,1245593,18463,352366,329980,22386,5,2898,24,749648,401410,0,373721,27689,59064,316,1606561,1271647,1254401,17246,334915,313095,21820,5,2898,24,732645,401410,0,373721,27689,59064,316,1549818,1201186,1187201,13985,348632,329043,19589,5,2898,24,745654,120512,31434,0,89078,401410,0,373721,27689,66668,315,1589205,1239330,1223629,15701,349875,328208,21667,5,2898,24,713757,126470,35861,0,90609,0,403926,61302,314935,27689,66693,315,1535848,1188031,1174613,13418,347818,328638,19180
"부산",3,840,24,252262,111018,21036,75428,14554,11286,106,532699,285412,285412,0,247287,222577,24710,3,840,24,258970,111018,21036,75428,14554,14780,108,538222,303688,303688,-,234534,209893,24641,3,840,24,259469,111018,21036,75428,14554,14760,108,546454,290683,290683,0,253811,229686,24125,2,510,24,172664,89540,20542,59729,9269,9735,67,379446,216503,216503,0,162943,152005,10938,2,510,24,153269,89540,20542,59729,9269,14941,66,348416,216729,216729,0,131687,123244,8443,2,510,24,155897,89540,20542,59729,9269,14249,66,350643,210969,210969,0,139674,129919,9755,2,510,24,151202,89540,20542,59729,9269,15898,69,336620,207900,207900,0,128720,119407,9313,2,510,24,155142,89540,20542,59729,9269,15898,74,346508,228135,228135,0,118373,108819,9554,2,510,24,155101,23505,0,0,23505,89540,20542,59729,9269,13839,74,350998,252026,252026,0,95972,86736,9236,2,510,24,156891,23944,0,0,23944,0,89540,20542,59729,9269,13837,68,333766,244982,244982,0,88784,88784,0
"대구",1,480,24,126811,72018,8201,63817,0,8514,46,282481,168679,167144,1535,113802,74513,39289,1,480,24,130741,72018,8201,63817,0,7633,46,279484,163733,159006,4727,115751,66146,49605,1,480,24,136477,72018,8201,63817,0,8171,48,283732,175891,173837,2054,107841,69931,37910,1,480,24,135534,72018,8201,55897,7920,8469,51,246186,132163,125888,6275,114023,58733,55290,1,480,24,135534,72018,8201,55897,7920,8469,51,283732,175891,173837,2054,107841,69931,37910,1,480,24,132119,72018,8201,55897,7920,8823,51,244308,163595,162965,630,80713,47542,33171,1,480,24,114857,72018,8201,55897,7920,8987,51,264041,141258,137847,3411,122783,25381,97402,1,480,24,90074,72018,8201,55897,7920,7218,44,196612,144613,142511,2102,51999,31274,20725,1,480,24,89394,21419,0,0,21419,72018,8201,55897,7920,8048,48,194512,133833,131554,2279,60679,30402,30277,1,480,24,81294,18347,0,0,18347,0,72018,8201,55897,7920,9081,49,169238,103068,100591,2477,66170,41124,25046
"인천",9,957,12,264024,220161,75259,144232,670,18283,185,634211,156997,156997,0,334214,334214,0,3,945,16,255265,215991,72739,142582,670,16755,75,590919,151677,150465,1212,20877,3200,17677,9,957,11,270802,220161,75259,144232,670,15738,78,598836,275611,180003,95608,323225,309514,13711,10,982,10,270802,226807,77052,148415,1340,15934,80,598836,275611,180003,95608,323225,309514,13711,11,1797,12,528056,429310,147282,281358,670,31819,158,1184258,522378,411305,111073,661880,587710,74170,9,877,11,268355,219965,76336,142959,670,16410,89,611524,351970,265615,86355,259554,199797,59757,9,877,11,265832,221772,76805,144297,670,17072,90,607651,352654,284888,67766,254997,254997,0,9,878,10,287702,221772,76805,144297,670,22687,76,573798,371576,332504,39072,202222,202222,0,9,998,10,269884,51177,44318,0,6859,221772,76805,144297,670,22548,106,575446,340289,322711,17578,235157,222585,12572,9,997,10,237647,47978,41465,0,6513,0,221430,73816,147244,370,27308,57,265920,139253,123995,15258,126203,126203,0
"광주",1,400,19,85679,74300,0,74300,0,6870,49,160199,40978,40978,0,119221,21993,97228,1,400,19,85679,74300,0,74300,0,6870,49,160199,40978,40978,0,119221,21993,97228,1,320,24,85035,74300,0,74300,0,5209,46,162965,37080,37080,0,125885,23475,102410,1,320,24,88301,74300,0,74300,0,5030,48,166232,22017,22017,0,141334,35401,105933,1,320,24,88122,74300,0,74300,0,5030,47,161427,20852,20852,0,140575,31688,108887,1,320,24,86937,74300,0,74300,0,6250,46,160562,20095,20095,0,140467,36450,104017,1,320,24,71003,74300,0,74300,0,4821,40,129836,22799,22799,0,107037,24814,82223,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대전",1,400,24,102587,70613,21555,49058,0,8154,38,241547,87203,87203,0,77172,77172,0,1,400,24,103227,70613,21555,49058,-,7962,40,242044,171091,171091,-,70093,70093,-,1,400,24,104147,70613,21555,49058,0,6310,41,223064,174191,174191,0,48873,48873,0,1,400,24,105694,70613,21555,49058,0,6766,41,207293,163791,163791,0,43502,43502,0,1,400,24,101300,70613,21555,49058,0,6766,41,228615,162756,162756,0,65856,65856,0,1,320,24,96790,70613,21555,49058,0,9462,42,220135,161764,161764,0,58371,58371,0,1,320,24,98146,70613,21555,49058,0,8815,41,237232,177878,177878,0,59354,59354,0,1,320,24,92569,70478,21508,48970,0,9278,41,234873,179940,179940,0,54933,54933,0,1,320,24,88599,17949,0,0,17949,70478,21508,48970,0,9624,42,228518,166346,166346,0,62172,62172,0,1,320,19,82359,16943,0,0,14436,2507,70478,21508,48970,0,10491,42,222686,159705,159705,0,62981,62981,0
