"행정구역별","폐기물별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"총계","합계","재활용률[%]","%","66","63.3","38.8","53.8","76.6","70","82","81","68.2","86.1",
"총계","합계","발생량[톤/일]","톤/일","1156331","480550","2868098.6","1786716.2","6575676.3","3615561.2","10086273.2","10307947.8","3434672.3","446206",
"총계","합계","재활용[톤/일]","톤/일","762850","304410.7","1113509.6","960486.8","5037360.1","2530799.3","8267184.9","8354566.8","2343483.5","384237.4",
"총계","생활계폐기물","발생량[톤/일]","톤/일","48080","49159","44991","44818","166861","93319.6","1306346.6","1275604.9","88978.3","56035.4",
"총계","생활계폐기물","재활용[톤/일]","톤/일","28101","29752.9","25168.7","24766.5","84326.8","50149","1008354.4","1008916.6","38017","34747.1",
"총계","사업장배출시설계폐기물","발생량[톤/일]","톤/일","117744","137875","136480.1","144584.3","3137534","430029.5","1597626.4","1881211.4","628551.5","167726.9",
"총계","사업장배출시설계폐기물","재활용[톤/일]","톤/일","77533","99626.5","95758.1","109438.8","2537937.6","258178.2","958099.7","1171450.9","410098.7","136909.8",
"총계","건설폐기물","발생량[톤/일]","톤/일","165116","178120.4","187180.1","151709.5","1380796.6","1160285.1","5251174.9","5004530.2","865392.3","206950.9",
"총계","건설폐기물","재활용[톤/일]","톤/일","161386","17500.8","182325.3","148748.4","1367934.3","1129424","5200722.3","4958132","857672.2","203349.6",
"총계","지정폐기물","발생량[톤/일]","톤/일","825391","115395.6","2789598.8","1445604.4","1890484.7","1931927","1931125.3","2146601.3","1851750.1","15492.8",
"총계","지정폐기물","재활용[톤/일]","톤/일","495830","30.5","1110608.4","677533.1","1047161.4","1093048.1","1100008.5","1216067.3","1037695.6","9230.9",
"총계","전년도이월량","발생량[톤/일]","톤/일","17955","341.3","59665.1","12046.8","161487.6","27733.7","19424.8","30375.6","10014.7","104.2",
"총계","당해년도발생량","발생량[톤/일]","톤/일","807436","115054.3","2850012","1433557.5","1728997.1","1904193.3","1911700.5","2116225.7","1841735.4","15388.6",
"서울특별시","합계","재활용률[%]","%","84.3","65.8","82.2","37.9","84.1","84","84.8","86.2","87.2","87.6",
"서울특별시","합계","발생량[톤/일]","톤/일","45755","73047.1","36256.5","8256","34728.3","37639.4","42066.5","45502","46222.3","46543.5",
"서울특별시","합계","재활용[톤/일]","톤/일","38550","32404.9","29793.4","3128.3","29189.7","31611.1","35653","39203.4","40321.9","40795",
"서울특별시","생활계폐기물","발생량[톤/일]","톤/일","11445","10020.4","6054.3","6054.3","8559","9613.8","9438.7","9608","9217.3","9492.9",
"서울특별시","생활계폐기물","재활용[톤/일]","톤/일","7508","6592.7","2607.4","2607.4","5481.4","6423.9","6501.4","6549.7","6180.2","6456.9",
"서울특별시","사업장배출시설계폐기물","발생량[톤/일]","톤/일","2322","2255","1844.1","1844.1","1153.7","2061","2237.1","2044.6","1831.2","1854.6",
"서울특별시","사업장배출시설계폐기물","재활용[톤/일]","톤/일","869","1227.6","341.6","341.6","531.5","804.9","880","603.5","604.9","981.3",
"서울특별시","건설폐기물","발생량[톤/일]","톤/일","31774","25472.1","28179.3","178.8","24761.6","25524.8","30035.1","33464.9","34845.5","34840.9",
"서울특별시","건설폐기물","재활용[톤/일]","톤/일","30100","24583.8","26754.8","89.7","23096.7","24303.1","28194.1","31966.6","33473.3","33286.4",
"서울특별시","지정폐기물","발생량[톤/일]","톤/일","214","35299.7","178.8","178.8","254","439.8","355.6","384.5","328.3","355.1",
"서울특별시","지정폐기물","재활용[톤/일]","톤/일","73","1.1","89.7","89.7","80.1","79.2","77.5","83.6","63.5","70.4",
