region,yr,life_waste,life_waste_per_pop,pop,total_recycle,total_waste,recycle_ratio,income_indivisual,corp_activated,corp_recycled_waste,corp_sales_amount,corp_total_sales,total_amount_daily,total_recycled_daily,total_cremation
강원도,2011,2208.5,26.3,1528790,1183.5,2208.5,53.588408422005884,13124,606,5982600,3027476,75896948,14300.099999999999,12744.800000000001,406
경기도,2011,10798.2,31.3,11801232,6507.8,10798.2,60.26745198273786,15041,3447,14335230,6222895,1719769898,828859.7999999999,123140.59999999999,3123.2999999999997
경상남도,2011,3274.599999999999,15.899999999999997,3291435,1664.2,3274.599999999999,50.82147437855007,14423,1909,3233993,1725141,424170153,288642.49999999994,172667.3,963.6
경상북도,2011,2594.1999999999994,21.599999999999998,2688586,1267.0999999999997,2594.1999999999994,48.84357412689847,13631,1718,7926356,5493787,984685323,513492.8999999999,343908.2999999997,459
전라북도,2011,1830.6000000000001,12.8,1868745,1180.2000000000003,1830.6000000000001,64.47066535562112,13653,712,1730802,585352,184201070,633399.6,297198.7000000003,263
충청남도,2011,2404,16.300000000000004,2076239,1413.3000000000002,2404,58.78951747088187,13376,1300,5489741,3401494,611741560,156061,126034,560.6
충청북도,2011,1753.9999999999998,13.200000000000001,1550474,984.8000000000001,1753.9999999999998,56.14595210946409,13422,1308,5647989,1702159,743964827,11244.799999999997,9526.400000000001,482.5
광주광역시,2011,1333.9,5,1456308,873.8000000000001,1333.9,65.50715945723069,13815,202,890207,777123,250516630,6544.000000000001,5212,221.8
대구광역시,2011,2625,9.899999999999999,2512071,1442.8,2625,54.96380952380952,13969,302,1520142,838538,290821237,102159.9,9307.900000000001,347.2
대전광역시,2011,1519.2,5.2,1504617,977.7,1519.2,64.3562401263823,14992,113,243700,233510,32190004,40086,16757.699999999997,278.2
부산광역시,2011,3189.7,15.400000000000004,3566560,2191.3,3189.7,68.69925071323323,14396,425,1816322,1469151,442514888,285351.9,193276.50000000006,692.6
서울특별시,2011,9440.1,26.2,10312835,5993.199999999999,9440.1,63.4866156078855,18252,24,57988,50982,5084821,36256.50000000001,29793.600000000006,2344.5
울산광역시,2011,1191.3,5.300000000000001,1127337,736.5,1191.3,61.82321833291362,18594,655,1539245,1106685,322160419,13102.299999999997,9874.9,309.5
인천광역시,2011,2088.6,9.7,2761122,1326.2,2088.6,63.497079383318976,13600,750,2966893,2229675,417309413,297606.99999999994,16305.500000000004,606.1999999999999
