,cnterNm,rdnmadr,latitude,longitude,ar,carHoldCo,trtmntPrdlst,institutionNm
0,보령시 공공재활용 기반시설,충청남도 보령시 해안로 543,36.33793953,126.5385437,736,1,"플라스틱류, 스티로폼, 캔 등",충청남도 보령시
1,동구자원재활용센터,대구광역시 동구 공항로31길 26(불로동),35.903514,128.6309954,3667.9,34,플라스틱+캔+유리병 등,대구광역시 동구청
2,대영기업,울산광역시 남구 여천로 174,35.52604103,129.3528164,2288.29,13,"합성수지, 파지, 고철외",울산광역시 북구청
3,진주시재활용품선별장,경상남도 진주시 내동면 유수길 75번길 27,35.12231134,128.0145496,1750,0,"종이류, 종이팩, 플라스틱, 유리병류, 스티로폼, 필름류 등",경상남도 진주시청
4,안동시 재활용품선별장,경상북도 안동시 배고개길 84,36.54865844,128.6716658,680,20,스티로폼+플라스틱 등 재활용 자원,경상북도 안동시청
5,사상구재활용센터,부산광역시 사상구 백양대로 858(모라동),35.18310703,128.989651,264,1,"가구, 가전제품 등",부산광역시 사상구청
6,줄포환경센터,전라북도 부안군 줄포면 분탕골로 215-34,35.58707426,126.6600257,88072,10,"폐지,알루미늄 등",전라북도 부안군청
7,남구재활용센터,부산광역시 남구 석포로 126번길 4(대연동),35.1281562,129.0913237,132,1,가구+가전제품,부산광역시 남구청
8,동아재활용센터,부산광역시 남구 동명로115-1(용호동),35.12021396,129.1097956,40,1,가전제품,부산광역시 남구청
9,용성가전에어컨,부산광역시 남구 용호로109번길3(용호동),35.12249262,129.112594,66,1,가전제품,부산광역시 남구청
10,대정읍 동일1리 재활용 도움센터,제주특별자치도 서귀포시 대정읍 동일하모로 90,33.22852665,126.2414549,99.89,0,생활쓰레기 배출,제주특별자치도 서귀포시청
11,평창군 자원회수센터,강원도 평창군 미탄면 서동로 3391-27,37.342343,128.473812,1159,0,"재활용품(폐지, 철캔, 알루미늄캔, 고철, PET, PS, PP, PE, 스티로폼, 공병)",평창군
