,행정구역,연도,명
0,가평군,2011,710678
1,가평군,2012,721442
2,가평군,2013,731791
3,가평군,2014,733741
4,가평군,2015,739598
5,가평군,2016,748610
6,가평군,2017,752538
7,가평군,2018,755760
8,가평군,2019,753257
9,가평군,2020,749550
10,가평군,2021,747524
11,가평군,2022,186759
12,강남구,2011,6828006
13,강남구,2012,6763002
14,강남구,2013,6757821
15,강남구,2014,6844215
16,강남구,2015,6929645
17,강남구,2016,6856775
18,강남구,2017,6751147
19,강남구,2018,6574300
20,강남구,2019,6518030
21,강남구,2020,6502781
22,강남구,2021,6405644
23,강남구,2022,1599036
24,강동구,2011,5949105
25,강동구,2012,5887111
26,강동구,2013,5827779
27,강동구,2014,5761504
28,강동구,2015,5595562
29,강동구,2016,5409207
30,강동구,2017,5339607
31,강동구,2018,5183446
32,강동구,2019,5129255
33,강동구,2020,5458642
34,강동구,2021,5569887
35,강동구,2022,1385724
36,강릉시,2011,2615646
37,강릉시,2012,2613363
38,강릉시,2013,2605106
39,강릉시,2014,2592619
40,강릉시,2015,2580357
41,강릉시,2016,2569224
42,강릉시,2017,2565296
43,강릉시,2018,2556394
44,강릉시,2019,2558886
45,강릉시,2020,2557121
46,강릉시,2021,2556253
47,강릉시,2022,638316
48,강북구,2011,4147068
49,강북구,2012,4139228
50,강북구,2013,4093638
51,강북구,2014,4039835
52,강북구,2015,3998548
53,강북구,2016,3948896
54,강북구,2017,3912584
55,강북구,2018,3862785
56,강북구,2019,3788730
57,강북구,2020,3734331
58,강북구,2021,3631307
59,강북구,2022,894185
60,강서구,2011,7617794
61,강서구,2012,7607205
62,강서구,2013,7631070
63,강서구,2014,7798276
64,강서구,2015,8110678
65,강서구,2016,8340835
66,강서구,2017,8574502
67,강서구,2018,8634265
68,강서구,2019,8662132
69,강서구,2020,8632604
70,강서구,2021,8612601
71,강서구,2022,2150332
72,강진군,2011,492709
73,강진군,2012,483812
74,강진군,2013,480945
75,강진군,2014,476895
76,강진군,2015,468975
77,강진군,2016,457058
78,강진군,2017,446779
79,강진군,2018,438232
80,강진군,2019,427352
81,강진군,2020,418901
82,강진군,2021,409879
83,강진군,2022,100818
84,강화군,2011,803037
85,강화군,2012,801923
86,강화군,2013,799187
87,강화군,2014,803303
88,강화군,2015,808426
89,강화군,2016,812924
90,강화군,2017,819489
91,강화군,2018,825520
92,강화군,2019,828796
93,강화군,2020,828990
94,강화군,2021,831573
95,강화군,2022,209329
96,거제시,2011,2759119
97,거제시,2012,2814934
98,거제시,2013,2872379
99,거제시,2014,2940307
100,거제시,2015,3033322
101,거제시,2016,3085798
102,거제시,2017,3067350
103,거제시,2018,3020371
104,거제시,2019,2985981
105,거제시,2020,2961728
106,거제시,2021,2917421
107,거제시,2022,720415
108,거창군,2011,759057
109,거창군,2012,757642
110,거창군,2013,756855
111,거창군,2014,758979
112,거창군,2015,757225
113,거창군,2016,758911
114,거창군,2017,756014
115,거창군,2018,752419
116,거창군,2019,749314
117,거창군,2020,739824
118,거창군,2021,737556
119,거창군,2022,182585
120,경산시,2011,2903316
121,경산시,2012,2938124
122,경산시,2013,2976849
123,경산시,2014,3018618
124,경산시,2015,3070720
125,경산시,2016,3095411
126,경산시,2017,3099974
127,경산시,2018,3117168
128,경산시,2019,3143964
129,경산시,2020,3155714
130,경산시,2021,3198783
131,경산시,2022,804088
132,경주시,2011,3191785
133,경주시,2012,3177182
134,경주시,2013,3163738
135,경주시,2014,3148523
136,경주시,2015,3128288
137,경주시,2016,3117860
138,경주시,2017,3100175
139,경주시,2018,3085373
140,경주시,2019,3071749
141,경주시,2020,3047347
142,경주시,2021,3031946
143,경주시,2022,754286
144,계룡시,2011,516102
145,계룡시,2012,504756
146,계룡시,2013,491805
147,계룡시,2014,489864
148,계룡시,2015,487682
149,계룡시,2016,509762
150,계룡시,2017,525877
151,계룡시,2018,526183
152,계룡시,2019,520017
153,계룡시,2020,513124
154,계룡시,2021,517972
155,계룡시,2022,130230
156,계양구,2011,4149736
157,계양구,2012,4123577
158,계양구,2013,4114589
159,계양구,2014,4105036
160,계양구,2015,4045740
161,계양구,2016,3986949
162,계양구,2017,3922694
163,계양구,2018,3802041
164,계양구,2019,3686151
165,계양구,2020,3593509
166,계양구,2021,3551942
167,계양구,2022,884446
168,고령군,2011,422705
169,고령군,2012,424895
170,고령군,2013,422700
171,고령군,2014,421166
172,고령군,2015,416348
173,고령군,2016,413018
174,고령군,2017,407005
175,고령군,2018,399711
176,고령군,2019,391496
177,고령군,2020,380610
178,고령군,2021,371129
179,고령군,2022,91758
180,고성군,2011,1046649
181,고성군,2012,1046550
182,고성군,2013,1040746
183,고성군,2014,1035335
184,고성군,2015,1023938
185,고성군,2016,1010048
186,고성군,2017,1001996
187,고성군,2018,985643
188,고성군,2019,964038
189,고성군,2020,943921
190,고성군,2021,933758
191,고성군,2022,232638
192,고양시,2011,11486803
193,고양시,2012,11562570
194,고양시,2013,11745316
195,고양시,2014,12001277
196,고양시,2015,12205289
197,고양시,2016,12396040
198,고양시,2017,12494735
199,고양시,2018,12513070
200,고양시,2019,12630150
201,고양시,2020,12904001
202,고양시,2021,12968382
203,고양시,2022,3236761
204,고창군,2011,725767
205,고창군,2012,721648
206,고창군,2013,721694
207,고창군,2014,721435
208,고창군,2015,715833
209,고창군,2016,713897
210,고창군,2017,705624
211,고창군,2018,693162
212,고창군,2019,674363
213,고창군,2020,658845
214,고창군,2021,646858
215,고창군,2022,159786
216,고흥군,2011,878532
217,고흥군,2012,864075
218,고흥군,2013,851245
219,고흥군,2014,841169
220,고흥군,2015,827501
221,고흥군,2016,817278
222,고흥군,2017,806023
223,고흥군,2018,794381
224,고흥군,2019,784323
225,고흥군,2020,771768
226,고흥군,2021,759424
227,고흥군,2022,187764
228,곡성군,2011,379319
229,곡성군,2012,372439
230,곡성군,2013,373649
231,곡성군,2014,371751
232,곡성군,2015,369318
233,곡성군,2016,367251
234,곡성군,2017,363202
235,곡성군,2018,359502
236,곡성군,2019,351494
237,곡성군,2020,340053
238,곡성군,2021,333592
239,곡성군,2022,82415
240,공주시,2011,1497234
241,공주시,2012,1451009
242,공주시,2013,1400820
243,공주시,2014,1383048
244,공주시,2015,1346098
245,공주시,2016,1323068
246,공주시,2017,1308224
247,공주시,2018,1292601
248,공주시,2019,1283216
249,공주시,2020,1265275
250,공주시,2021,1243828
251,공주시,2022,309195
252,과천시,2011,866116
253,과천시,2012,858268
254,과천시,2013,849578
255,과천시,2014,842451
256,과천시,2015,836279
257,과천시,2016,802183
258,과천시,2017,710475
259,과천시,2018,689158
260,과천시,2019,697638
261,과천시,2020,729522
262,과천시,2021,830855
263,과천시,2022,231899
264,관악구,2011,6353646
265,관악구,2012,6304298
266,관악구,2013,6256171
267,관악구,2014,6192278
268,관악구,2015,6148820
269,관악구,2016,6115573
270,관악구,2017,6069909
271,관악구,2018,6044101
272,관악구,2019,6022578
273,관악구,2020,5982799
274,관악구,2021,5869666
275,관악구,2022,1458194
276,광명시,2011,4231292
277,광명시,2012,4266215
278,광명시,2013,4252647
279,광명시,2014,4206718
280,광명시,2015,4157660
281,광명시,2016,4108466
282,광명시,2017,4020130
283,광명시,2018,3957186
284,광명시,2019,3855815
285,광명시,2020,3718282
286,광명시,2021,3544471
287,광명시,2022,874243
288,광산구,2011,4439013
289,광산구,2012,4567750
290,광산구,2013,4670120
291,광산구,2014,4749388
292,광산구,2015,4790892
293,광산구,2016,4826959
294,광산구,2017,4846575
295,광산구,2018,4849138
296,광산구,2019,4873909
297,광산구,2020,4877645
298,광산구,2021,4856159
299,광산구,2022,1211316
300,광양시,2011,1769323
301,광양시,2012,1810633
302,광양시,2013,1814289
303,광양시,2014,1820848
304,광양시,2015,1826487
305,광양시,2016,1832072
306,광양시,2017,1836812
307,광양시,2018,1837195
308,광양시,2019,1828660
309,광양시,2020,1819896
310,광양시,2021,1807433
311,광양시,2022,454843
312,광주시,2011,3096423
313,광주시,2012,3251454
314,광주시,2013,3377041
315,광주시,2014,3520742
316,광주시,2015,3673672
317,광주시,2016,3825657
318,광주시,2017,4032409
319,광주시,2018,4272676
320,광주시,2019,4418276
321,광주시,2020,4534586
322,광주시,2021,4618746
323,광주시,2022,1163422
324,광진구,2011,4484409
325,광진구,2012,4462063
326,광진구,2013,4443675
327,광진구,2014,4397165
328,광진구,2015,4343808
329,광진구,2016,4309045
330,광진구,2017,4289655
331,광진구,2018,4273063
332,광진구,2019,4242175
333,광진구,2020,4189653
334,광진구,2021,4108883
335,광진구,2022,1021203
336,괴산군,2011,443192
337,괴산군,2012,451070
338,괴산군,2013,454138
339,괴산군,2014,456430
340,괴산군,2015,457010
341,괴산군,2016,459045
342,괴산군,2017,460981
343,괴산군,2018,461135
344,괴산군,2019,458381
345,괴산군,2020,453875
346,괴산군,2021,449443
347,괴산군,2022,112253
348,구례군,2011,327717
349,구례군,2012,326487
350,구례군,2013,324808
351,구례군,2014,326244
352,구례군,2015,325935
353,구례군,2016,326993
354,구례군,2017,325554
355,구례군,2018,323102
356,구례군,2019,316407
357,구례군,2020,309834
358,구례군,2021,303425
359,구례군,2022,75452
360,구로구,2011,5084865
361,구로구,2012,5139182
362,구로구,2013,5119395
363,구로구,2014,5122836
364,구로구,2015,5095049
365,구로구,2016,5046677
366,구로구,2017,4973521
367,구로구,2018,4884108
368,구로구,2019,4868229
369,구로구,2020,4865626
370,구로구,2021,4792128
371,구로구,2022,1188753
372,구리시,2011,2347367
373,구리시,2012,2321904
374,구리시,2013,2290458
375,구리시,2014,2258194
376,구리시,2015,2241210
377,구리시,2016,2264521
378,구리시,2017,2350976
379,구리시,2018,2419052
380,구리시,2019,2411650
381,구리시,2020,2380315
382,구리시,2021,2332706
383,구리시,2022,574195
384,구미시,2011,4916702
385,구미시,2012,4984867
386,구미시,2013,5021351
387,구미시,2014,5040598
388,구미시,2015,5044068
389,구미시,2016,5041410
390,구미시,2017,5043756
391,구미시,2018,5064125
392,구미시,2019,5044819
393,구미시,2020,5010789
394,구미시,2021,4970575
395,구미시,2022,1234233
396,군산시,2011,3291048
397,군산시,2012,3331921
398,군산시,2013,3342152
399,군산시,2014,3337501
400,군산시,2015,3340810
401,군산시,2016,3337574
402,군산시,2017,3312887
403,군산시,2018,3282630
404,군산시,2019,3256222
405,군산시,2020,3221334
406,군산시,2021,3196263
407,군산시,2022,794765
408,군위군,2011,293231
409,군위군,2012,290159
410,군위군,2013,289588
411,군위군,2014,291723
412,군위군,2015,289133
413,군위군,2016,289539
414,군위군,2017,291051
415,군위군,2018,290234
416,군위군,2019,284505
417,군위군,2020,281794
418,군위군,2021,275669
419,군위군,2022,69319
420,군포시,2011,3455838
421,군포시,2012,3447822
422,군포시,2013,3436962
423,군포시,2014,3451618
424,군포시,2015,3457757
425,군포시,2016,3437773
426,군포시,2017,3396289
427,군포시,2018,3344309
428,군포시,2019,3303028
429,군포시,2020,3304909
430,군포시,2021,3246200
431,군포시,2022,802408
432,권선구,2011,3716917
433,권선구,2012,3966300
434,권선구,2013,3983976
435,권선구,2014,4032251
436,권선구,2015,4139590
437,권선구,2016,4262525
438,권선구,2017,4333938
439,권선구,2018,4493161
440,권선구,2019,4492856
441,권선구,2020,4443688
442,권선구,2021,4387413
443,권선구,2022,1104999
444,금산군,2011,674752
445,금산군,2012,669682
446,금산군,2013,665593
447,금산군,2014,662988
448,금산군,2015,659193
449,금산군,2016,657085
450,금산군,2017,649075
451,금산군,2018,642251
452,금산군,2019,632599
453,금산군,2020,620417
454,금산군,2021,610088
455,금산군,2022,150976
456,금정구,2011,3067201
457,금정구,2012,3056118
458,금정구,2013,3060960
459,금정구,2014,3019190
460,금정구,2015,2974176
461,금정구,2016,2940628
462,금정구,2017,2925280
463,금정구,2018,2927726
464,금정구,2019,2893282
465,금정구,2020,2827281
466,금정구,2021,2757388
467,금정구,2022,678512
468,금천구,2011,2924053
469,금천구,2012,2924794
470,금천구,2013,2907326
471,금천구,2014,2876840
472,금천구,2015,2854914
473,금천구,2016,2821656
474,금천구,2017,2831716
475,금천구,2018,2803501
476,금천구,2019,2804164
477,금천구,2020,2787565
478,금천구,2021,2766856
479,금천구,2022,692835
480,기장군,2011,1262967
481,기장군,2012,1332465
482,기장군,2013,1474903
483,기장군,2014,1675225
484,기장군,2015,1797393
485,기장군,2016,1873386
486,기장군,2017,1916980
487,기장군,2018,1961104
488,기장군,2019,1979502
489,기장군,2020,2044091
490,기장군,2021,2118462
491,기장군,2022,530226
492,기흥구,2011,4371113
493,기흥구,2012,4461728
494,기흥구,2013,4623186
495,기흥구,2014,4769847
496,기흥구,2015,4878042
497,기흥구,2016,4951647
498,기흥구,2017,5023007
499,기흥구,2018,5071112
500,기흥구,2019,5195527
501,기흥구,2020,5280224
502,기흥구,2021,5291784
503,기흥구,2022,1323418
504,김제시,2011,1122290
