행정구역,연도,명
가평군,2011-01-01,58932
가평군,2011-02-01,58900
가평군,2011-03-01,58898
가평군,2011-04-01,58941
가평군,2011-05-01,59065
가평군,2011-06-01,59198
가평군,2011-07-01,59448
가평군,2011-08-01,59450
가평군,2011-09-01,59505
가평군,2011-10-01,59563
가평군,2011-11-01,59420
가평군,2011-12-01,59358
가평군,2012-01-01,59384
가평군,2012-02-01,59316
가평군,2012-03-01,59413
가평군,2012-04-01,59577
가평군,2012-05-01,59880
가평군,2012-06-01,59964
가평군,2012-07-01,60178
가평군,2012-08-01,60566
가평군,2012-09-01,60719
가평군,2012-10-01,60845
가평군,2012-11-01,60806
가평군,2012-12-01,60794
가평군,2013-01-01,60719
가평군,2013-02-01,60715
가평군,2013-03-01,60647
가평군,2013-04-01,60751
가평군,2013-05-01,60886
가평군,2013-06-01,60985
가평군,2013-07-01,61155
가평군,2013-08-01,61295
가평군,2013-09-01,61288
가평군,2013-10-01,61351
가평군,2013-11-01,60982
가평군,2013-12-01,61017
가평군,2014-01-01,60918
가평군,2014-02-01,60895
가평군,2014-03-01,60854
가평군,2014-04-01,60886
가평군,2014-05-01,61107
가평군,2014-06-01,61223
가평군,2014-07-01,61245
가평군,2014-08-01,61276
가평군,2014-09-01,61327
가평군,2014-10-01,61408
가평군,2014-11-01,61389
가평군,2014-12-01,61213
가평군,2015-01-01,61111
가평군,2015-02-01,61123
가평군,2015-03-01,61082
가평군,2015-04-01,61163
가평군,2015-05-01,61403
가평군,2015-06-01,61693
가평군,2015-07-01,61853
가평군,2015-08-01,61995
가평군,2015-09-01,62002
가평군,2015-10-01,62108
가평군,2015-11-01,62057
가평군,2015-12-01,62008
가평군,2016-01-01,62010
가평군,2016-02-01,62055
가평군,2016-03-01,62015
가평군,2016-04-01,62119
가평군,2016-05-01,62358
가평군,2016-06-01,62437
가평군,2016-07-01,62555
가평군,2016-08-01,62647
가평군,2016-09-01,62718
가평군,2016-10-01,62683
가평군,2016-11-01,62565
가평군,2016-12-01,62448
가평군,2017-01-01,62457
가평군,2017-02-01,62373
가평군,2017-03-01,62373
가평군,2017-04-01,62369
가평군,2017-05-01,62586
가평군,2017-06-01,62645
가평군,2017-07-01,62830
가평군,2017-08-01,62941
가평군,2017-09-01,63007
가평군,2017-10-01,63003
가평군,2017-11-01,62981
가평군,2017-12-01,62973
가평군,2018-01-01,62814
가평군,2018-02-01,62715
가평군,2018-03-01,62787
가평군,2018-04-01,62818
가평군,2018-05-01,63006
가평군,2018-06-01,63076
가평군,2018-07-01,63115
가평군,2018-08-01,63155
가평군,2018-09-01,63160
가평군,2018-10-01,63157
가평군,2018-11-01,63039
가평군,2018-12-01,62918
가평군,2019-01-01,62937
가평군,2019-02-01,62814
가평군,2019-03-01,62780
가평군,2019-04-01,62740
가평군,2019-05-01,62986
가평군,2019-06-01,62948
가평군,2019-07-01,62856
가평군,2019-08-01,62826
가평군,2019-09-01,62743
가평군,2019-10-01,62710
가평군,2019-11-01,62502
가평군,2019-12-01,62415
가평군,2020-01-01,62303
가평군,2020-02-01,62224
가평군,2020-03-01,62262
가평군,2020-04-01,62397
가평군,2020-05-01,62566
가평군,2020-06-01,62662
가평군,2020-07-01,62632
가평군,2020-08-01,62605
가평군,2020-09-01,62551
가평군,2020-10-01,62476
가평군,2020-11-01,62495
가평군,2020-12-01,62377
가평군,2021-01-01,62399
가평군,2021-02-01,62339
가평군,2021-03-01,62049
가평군,2021-04-01,62206
가평군,2021-05-01,62344
가평군,2021-06-01,62364
가평군,2021-07-01,62348
가평군,2021-08-01,62383
가평군,2021-09-01,62334
가평군,2021-10-01,62241
가평군,2021-11-01,62253
가평군,2021-12-01,62264
가평군,2022-01-01,62291
가평군,2022-02-01,62247
가평군,2022-03-01,62221
강남구,2011-01-01,570296
강남구,2011-02-01,570591
강남구,2011-03-01,569367
강남구,2011-04-01,568991
강남구,2011-05-01,569265
강남구,2011-06-01,569873
강남구,2011-07-01,570392
강남구,2011-08-01,570209
강남구,2011-09-01,569002
강남구,2011-10-01,567828
강남구,2011-11-01,566482
강남구,2011-12-01,565710
강남구,2012-01-01,565475
강남구,2012-02-01,564876
강남구,2012-03-01,563872
강남구,2012-04-01,563254
강남구,2012-05-01,562725
강남구,2012-06-01,562739
강남구,2012-07-01,562684
강남구,2012-08-01,562465
강남구,2012-09-01,562556
강남구,2012-10-01,563717
강남구,2012-11-01,564442
강남구,2012-12-01,564197
강남구,2013-01-01,564717
강남구,2013-02-01,564275
강남구,2013-03-01,563170
강남구,2013-04-01,562361
강남구,2013-05-01,561664
강남구,2013-06-01,561782
강남구,2013-07-01,562545
강남구,2013-08-01,563217
강남구,2013-09-01,563387
강남구,2013-10-01,563655
강남구,2013-11-01,563449
강남구,2013-12-01,563599
강남구,2014-01-01,563857
강남구,2014-02-01,564595
강남구,2014-03-01,565302
강남구,2014-04-01,566754
강남구,2014-05-01,568278
강남구,2014-06-01,568867
강남구,2014-07-01,570331
강남구,2014-08-01,572486
강남구,2014-09-01,573756
강남구,2014-10-01,575196
강남구,2014-11-01,576679
강남구,2014-12-01,578114
강남구,2015-01-01,578990
강남구,2015-02-01,579722
강남구,2015-03-01,578361
강남구,2015-04-01,577417
강남구,2015-05-01,576416
강남구,2015-06-01,575912
강남구,2015-07-01,577237
강남구,2015-08-01,577380
강남구,2015-09-01,576756
강남구,2015-10-01,577582
강남구,2015-11-01,577377
강남구,2015-12-01,576495
강남구,2016-01-01,576089
강남구,2016-02-01,575486
강남구,2016-03-01,573644
강남구,2016-04-01,572375
강남구,2016-05-01,571445
강남구,2016-06-01,571330
강남구,2016-07-01,570882
강남구,2016-08-01,570421
강남구,2016-09-01,569961
강남구,2016-10-01,569611
강남구,2016-11-01,568416
강남구,2016-12-01,567115
강남구,2017-01-01,567077
강남구,2017-02-01,566590
강남구,2017-03-01,565550
강남구,2017-04-01,564885
강남구,2017-05-01,564166
강남구,2017-06-01,563448
강남구,2017-07-01,563050
강남구,2017-08-01,562216
강남구,2017-09-01,560827
강남구,2017-10-01,559507
강남구,2017-11-01,557667
강남구,2017-12-01,556164
강남구,2018-01-01,555622
강남구,2018-02-01,554772
강남구,2018-03-01,552976
강남구,2018-04-01,551140
강남구,2018-05-01,548745
강남구,2018-06-01,546952
강남구,2018-07-01,545809
강남구,2018-08-01,545085
강남구,2018-09-01,544257
강남구,2018-10-01,543907
강남구,2018-11-01,542671
강남구,2018-12-01,542364
강남구,2019-01-01,542154
강남구,2019-02-01,542341
강남구,2019-03-01,541854
강남구,2019-04-01,542108
강남구,2019-05-01,542344
강남구,2019-06-01,542498
강남구,2019-07-01,542576
강남구,2019-08-01,543222
강남구,2019-09-01,544028
강남구,2019-10-01,544712
강남구,2019-11-01,545024
강남구,2019-12-01,545169
강남구,2020-01-01,545938
강남구,2020-02-01,546436
강남구,2020-03-01,544804
강남구,2020-04-01,543240
강남구,2020-05-01,541915
강남구,2020-06-01,541233
강남구,2020-07-01,540636
강남구,2020-08-01,540148
강남구,2020-09-01,539235
강남구,2020-10-01,540127
강남구,2020-11-01,539838
강남구,2020-12-01,539231
강남구,2021-01-01,538536
강남구,2021-02-01,537879
강남구,2021-03-01,534796
강남구,2021-04-01,533579
강남구,2021-05-01,532296
강남구,2021-06-01,531375
강남구,2021-07-01,530529
강남구,2021-08-01,532818
강남구,2021-09-01,533359
강남구,2021-10-01,533878
강남구,2021-11-01,533557
강남구,2021-12-01,533042
강남구,2022-01-01,533173
강남구,2022-02-01,533286
강남구,2022-03-01,532577
강동구,2011-01-01,492340
강동구,2011-02-01,495051
강동구,2011-03-01,496480
강동구,2011-04-01,496641
강동구,2011-05-01,496776
강동구,2011-06-01,496471
강동구,2011-07-01,496364
강동구,2011-08-01,496358
강동구,2011-09-01,496160
강동구,2011-10-01,495745
강동구,2011-11-01,495581
강동구,2011-12-01,495138
강동구,2012-01-01,494925
강동구,2012-02-01,494043
강동구,2012-03-01,492629
강동구,2012-04-01,491518
강동구,2012-05-01,490765
강동구,2012-06-01,490110
강동구,2012-07-01,489681
강동구,2012-08-01,489324
강동구,2012-09-01,489173
강동구,2012-10-01,488754
강동구,2012-11-01,488284
강동구,2012-12-01,487905
강동구,2013-01-01,487768
강동구,2013-02-01,487551
강동구,2013-03-01,486976
강동구,2013-04-01,486426
강동구,2013-05-01,486089
강동구,2013-06-01,485571
강동구,2013-07-01,485265
강동구,2013-08-01,485029
강동구,2013-09-01,484900
강동구,2013-10-01,484544
강동구,2013-11-01,484281
강동구,2013-12-01,483379
강동구,2014-01-01,483082
강동구,2014-02-01,482686
강동구,2014-03-01,482207
강동구,2014-04-01,481599
강동구,2014-05-01,481078
강동구,2014-06-01,480805
강동구,2014-07-01,480063
강동구,2014-08-01,479320
강동구,2014-09-01,478735
강동구,2014-10-01,478026
강동구,2014-11-01,477306
강동구,2014-12-01,476597
강동구,2015-01-01,475929
강동구,2015-02-01,474510
강동구,2015-03-01,472377
강동구,2015-04-01,470109
강동구,2015-05-01,468402
강동구,2015-06-01,465834
강동구,2015-07-01,463993
강동구,2015-08-01,462796
강동구,2015-09-01,462103
강동구,2015-10-01,460988
강동구,2015-11-01,459863
강동구,2015-12-01,458658
강동구,2016-01-01,457825
강동구,2016-02-01,456579
강동구,2016-03-01,455189
강동구,2016-04-01,454001
강동구,2016-05-01,452261
강동구,2016-06-01,450926
강동구,2016-07-01,450141
강동구,2016-08-01,448602
강동구,2016-09-01,447881
강동구,2016-10-01,446321
강동구,2016-11-01,445313
강동구,2016-12-01,444168
강동구,2017-01-01,445110
강동구,2017-02-01,447960
강동구,2017-03-01,449019
강동구,2017-04-01,449253
강동구,2017-05-01,449407
강동구,2017-06-01,448953
강동구,2017-07-01,447444
강동구,2017-08-01,445342
강동구,2017-09-01,442654
강동구,2017-10-01,440449
강동구,2017-11-01,437793
강동구,2017-12-01,436223
강동구,2018-01-01,435340
강동구,2018-02-01,434710
강동구,2018-03-01,434027
강동구,2018-04-01,433513
강동구,2018-05-01,433034
강동구,2018-06-01,432749
강동구,2018-07-01,432168
강동구,2018-08-01,431362
강동구,2018-09-01,430705
강동구,2018-10-01,429734
강동구,2018-11-01,428531
강동구,2018-12-01,427573
강동구,2019-01-01,426865
강동구,2019-02-01,426178
강동구,2019-03-01,425267
강동구,2019-04-01,424727
강동구,2019-05-01,424417
강동구,2019-06-01,424235
강동구,2019-07-01,425392
강동구,2019-08-01,425953
