행정구역,연도,명
강원도,2011-01-01,1528790
강원도,2011-02-01,1527843
강원도,2011-03-01,1529915
강원도,2011-04-01,1531721
강원도,2011-05-01,1531996
강원도,2011-06-01,1532178
강원도,2011-07-01,1532825
강원도,2011-08-01,1533172
강원도,2011-09-01,1533638
강원도,2011-10-01,1534555
강원도,2011-11-01,1535771
강원도,2011-12-01,1536448
강원도,2012-01-01,1535335
강원도,2012-02-01,1534310
강원도,2012-03-01,1536525
강원도,2012-04-01,1537096
강원도,2012-05-01,1537673
강원도,2012-06-01,1537750
강원도,2012-07-01,1538198
강원도,2012-08-01,1538136
강원도,2012-09-01,1538934
강원도,2012-10-01,1538869
강원도,2012-11-01,1539116
강원도,2012-12-01,1538630
강원도,2013-01-01,1537704
강원도,2013-02-01,1536718
강원도,2013-03-01,1538219
강원도,2013-04-01,1539169
강원도,2013-05-01,1539403
강원도,2013-06-01,1539767
강원도,2013-07-01,1540014
강원도,2013-08-01,1540264
강원도,2013-09-01,1540796
강원도,2013-10-01,1541457
강원도,2013-11-01,1542069
강원도,2013-12-01,1542263
강원도,2014-01-01,1540745
강원도,2014-02-01,1539343
강원도,2014-03-01,1541051
강원도,2014-04-01,1541556
강원도,2014-05-01,1541841
강원도,2014-06-01,1541568
강원도,2014-07-01,1541315
강원도,2014-08-01,1541010
강원도,2014-09-01,1541414
강원도,2014-10-01,1542147
강원도,2014-11-01,1542604
강원도,2014-12-01,1544442
강원도,2015-01-01,1543640
강원도,2015-02-01,1542918
강원도,2015-03-01,1543187
강원도,2015-04-01,1543811
강원도,2015-05-01,1545194
강원도,2015-06-01,1547166
강원도,2015-07-01,1547737
강원도,2015-08-01,1547646
강원도,2015-09-01,1548082
강원도,2015-10-01,1549221
강원도,2015-11-01,1549178
강원도,2015-12-01,1549507
강원도,2016-01-01,1549193
강원도,2016-02-01,1548016
강원도,2016-03-01,1547845
강원도,2016-04-01,1548170
강원도,2016-05-01,1547821
강원도,2016-06-01,1548603
강원도,2016-07-01,1548636
강원도,2016-08-01,1548844
강원도,2016-09-01,1549483
강원도,2016-10-01,1550021
강원도,2016-11-01,1550209
강원도,2016-12-01,1550806
강원도,2017-01-01,1549212
강원도,2017-02-01,1548252
강원도,2017-03-01,1547735
강원도,2017-04-01,1547579
강원도,2017-05-01,1547453
강원도,2017-06-01,1547829
강원도,2017-07-01,1547387
강원도,2017-08-01,1547455
강원도,2017-09-01,1547768
강원도,2017-10-01,1547999
강원도,2017-11-01,1549344
강원도,2017-12-01,1550142
강원도,2018-01-01,1548078
강원도,2018-02-01,1546259
