,행정구역,연도,명
0,강원도,2011,18388852
1,강원도,2012,18450572
2,강원도,2013,18477843
3,강원도,2014,18499036
4,강원도,2015,18557287
5,강원도,2016,18587647
6,강원도,2017,18578155
7,강원도,2018,18537830
8,강원도,2019,18491064
9,강원도,2020,18483276
10,강원도,2021,18449823
11,강원도,2022,4616747
12,경기도,2011,142430553
13,경기도,2012,144205042
14,경기도,2013,146076890
15,경기도,2014,147653535
16,경기도,2015,149291762
17,경기도,2016,151483993
18,경기도,2017,153553148
19,경기도,2018,155816083
20,경기도,2019,158010019
21,경기도,2020,160130213
22,경기도,2021,162115160
23,경기도,2022,40721755
24,경상남도,2011,39590704
25,경상남도,2012,39757822
26,경상남도,2013,39887156
27,경상남도,2014,40093856
28,경상남도,2015,40284341
29,경상남도,2016,40422117
30,경상남도,2017,40497106
31,경상남도,2018,40522563
32,경상남도,2019,40403275
33,경상남도,2020,40190380
34,경상남도,2021,39902753
35,경상남도,2022,9921717
36,경상북도,2011,32298648
37,경상북도,2012,32349396
38,경상북도,2013,32366392
39,경상북도,2014,32385019
40,경상북도,2015,32391553
41,경상북도,2016,32416044
42,경상북도,2017,32316597
43,경상북도,2018,32170673
44,경상북도,2019,32027555
45,경상북도,2020,31764555
46,경상북도,2021,31584087
47,경상북도,2022,7865977
48,광주광역시,2011,17530888
49,광주광역시,2012,17611452
50,광주광역시,2013,17665569
51,광주광역시,2014,17700959
52,광주광역시,2015,17713700
53,광주광역시,2016,17662795
54,광주광역시,2017,17602580
55,광주광역시,2018,17538156
56,광주광역시,2019,17508236
57,광주광역시,2020,17453055
58,광주광역시,2021,17326611
59,광주광역시,2022,4320131
60,대구광역시,2011,30122307
61,대구광역시,2012,30089428
62,대구광역시,2013,30047509
63,대구광역시,2014,29966122
64,대구광역시,2015,29890706
65,대구광역시,2016,29827793
66,대구광역시,2017,29768906
67,대구광역시,2018,29624218
68,대구광역시,2019,29395093
69,대구광역시,2020,29138950
70,대구광역시,2021,28791286
71,대구광역시,2022,7145447
72,대전광역시,2011,18123509
73,대전광역시,2012,18260768
74,대전광역시,2013,18359379
75,대전광역시,2014,18418597
76,대전광역시,2015,18303109
77,대전광역시,2016,18196712
78,대전광역시,2017,18103357
79,대전광역시,2018,17941582
80,대전광역시,2019,17787945
81,대전광역시,2020,17639826
82,대전광역시,2021,17479896
83,대전광역시,2022,4352191
84,부산광역시,2011,42722580
85,부산광역시,2012,42519321
86,부산광역시,2013,42409146
87,부산광역시,2014,42274932
88,부산광역시,2015,42198286
89,부산광역시,2016,42096376
90,부산광역시,2017,41827481
91,부산광역시,2018,41456706
92,부산광역시,2019,41117018
93,부산광역시,2020,40841043
94,부산광역시,2021,40391333
95,부산광역시,2022,10039774
96,서울특별시,2011,123426072
97,서울특별시,2012,122741879
98,서울특별시,2013,122095491
99,서울특별시,2014,121535448
100,서울특별시,2015,120865523
101,서울특별시,2016,119776759
102,서울특별시,2017,118857535
103,서울특별시,2018,117723906
104,서울특별시,2019,117027908
105,서울특별시,2020,116536558
106,서울특별시,2021,114848517
107,서울특별시,2022,28521155
108,세종특별자치시,2011,0
109,세종특별자치시,2012,651910
110,세종특별자치시,2013,1409122
111,세종특별자치시,2014,1616925
112,세종특별자치시,2015,2253051
113,세종특별자치시,2016,2767676
114,세종특별자치시,2017,3157700
115,세종특별자치시,2018,3608487
116,세종특별자치시,2019,3949401
117,세종특별자치시,2020,4168569
118,세종특별자치시,2021,4370198
119,세종특별자치시,2022,1128072
120,울산광역시,2011,13573527
121,울산광역시,2012,13698967
122,울산광역시,2013,13829803
123,울산광역시,2014,13936797
124,울산광역시,2015,14044655
125,울산광역시,2016,14076294
126,울산광역시,2017,14008655
127,울산광역시,2018,13914299
128,울산광역시,2019,13814008
129,울산광역시,2020,13699729
130,울산광역시,2021,13519359
131,울산광역시,2022,3358556
132,인천광역시,2011,33375383
133,인천광역시,2012,33883073
134,인천광역시,2013,34361190
135,인천광역시,2014,34715943
136,인천광역시,2015,34986651
137,인천광역시,2016,35231052
138,인천광역시,2017,35359391
139,인천광역시,2018,35435438
140,인천광역시,2019,35480811
141,인천광역시,2020,35370992
142,인천광역시,2021,35286948
143,인천광역시,2022,8852827
144,전국,2011,607637721
145,전국,2012,610160240
146,전국,2013,612690896
147,전국,2014,614913816
148,전국,2015,617263722
149,전국,2016,619480837
150,전국,2017,620906746
151,전국,2018,621640866
152,전국,2019,622103134
153,전국,2020,622081566
154,전국,2021,620376280
155,전국,2022,154868729
156,전라남도,2011,22964149
157,전라남도,2012,22922517
158,전라남도,2013,22877384
159,전라남도,2014,22857235
160,전라남도,2015,22847989
161,전라남도,2016,22848371
162,전라남도,2017,22773789
163,전라남도,2018,22642431
164,전라남도,2019,22445723
165,전라남도,2020,22262776
166,전라남도,2021,22087734
167,전라남도,2022,5493556
168,전라북도,2011,22454671
169,전라북도,2012,22478845
170,전라북도,2013,22463650
171,전라북도,2014,22458529
172,전라북도,2015,22437541
173,전라북도,2016,22389179
174,전라북도,2017,22293720
175,전라북도,2018,22126394
176,전라북도,2019,21914894
177,전라북도,2020,21712692
178,전라북도,2021,21529604
179,전라북도,2022,5351520
180,제주특별자치도,2011,6887659
181,제주특별자치도,2012,6962824
182,제주특별자치도,2013,7069619
183,제주특별자치도,2014,7210642
184,제주특별자치도,2015,7395096
185,제주특별자치도,2016,7612812
186,제주특별자치도,2017,7796426
187,제주특별자치도,2018,7962655
188,제주특별자치도,2019,8034688
189,제주특별자치도,2020,8064464
190,제주특별자치도,2021,8106314
191,제주특별자치도,2022,2031052
192,충청남도,2011,25067084
193,충청남도,2012,24804877
194,충청남도,2013,24467927
195,충청남도,2014,24676265
196,충청남도,2015,24830053
197,충청남도,2016,25038918
198,충청남도,2017,25297963
199,충청남도,2018,25465646
200,충청남도,2019,25502440
201,충청남도,2020,25443690
202,충청남도,2021,25418563
203,충청남도,2022,6356649
204,충청북도,2011,18681135
205,충청북도,2012,18771547
206,충청북도,2013,18826826
207,충청북도,2014,18913976
208,충청북도,2015,18972419
209,충청북도,2016,19046299
210,충청북도,2017,19114237
211,충청북도,2018,19153799
212,충청북도,2019,19193056
213,충청북도,2020,19180798
214,충청북도,2021,19168094
215,충청북도,2022,4791603
