행정구역,연도,명
강원도,2011.01,1528790
강원도,2011.02,1527843
강원도,2011.03,1529915
강원도,2011.04,1531721
강원도,2011.05,1531996
강원도,2011.06,1532178
강원도,2011.07,1532825
강원도,2011.08,1533172
강원도,2011.09,1533638
강원도,2011.10,1534555
강원도,2011.11,1535771
강원도,2011.12,1536448
강원도,2012.01,1535335
강원도,2012.02,1534310
강원도,2012.03,1536525
강원도,2012.04,1537096
강원도,2012.05,1537673
강원도,2012.06,1537750
강원도,2012.07,1538198
강원도,2012.08,1538136
강원도,2012.09,1538934
강원도,2012.10,1538869
강원도,2012.11,1539116
강원도,2012.12,1538630
강원도,2013.01,1537704
강원도,2013.02,1536718
강원도,2013.03,1538219
강원도,2013.04,1539169
강원도,2013.05,1539403
강원도,2013.06,1539767
강원도,2013.07,1540014
강원도,2013.08,1540264
강원도,2013.09,1540796
강원도,2013.10,1541457
강원도,2013.11,1542069
강원도,2013.12,1542263
강원도,2014.01,1540745
강원도,2014.02,1539343
강원도,2014.03,1541051
강원도,2014.04,1541556
강원도,2014.05,1541841
강원도,2014.06,1541568
강원도,2014.07,1541315
강원도,2014.08,1541010
강원도,2014.09,1541414
강원도,2014.10,1542147
강원도,2014.11,1542604
강원도,2014.12,1544442
강원도,2015.01,1543640
강원도,2015.02,1542918
강원도,2015.03,1543187
강원도,2015.04,1543811
강원도,2015.05,1545194
강원도,2015.06,1547166
강원도,2015.07,1547737
강원도,2015.08,1547646
강원도,2015.09,1548082
강원도,2015.10,1549221
강원도,2015.11,1549178
강원도,2015.12,1549507
강원도,2016.01,1549193
강원도,2016.02,1548016
강원도,2016.03,1547845
강원도,2016.04,1548170
강원도,2016.05,1547821
강원도,2016.06,1548603
강원도,2016.07,1548636
강원도,2016.08,1548844
강원도,2016.09,1549483
강원도,2016.10,1550021
강원도,2016.11,1550209
강원도,2016.12,1550806
강원도,2017.01,1549212
강원도,2017.02,1548252
강원도,2017.03,1547735
강원도,2017.04,1547579
강원도,2017.05,1547453
강원도,2017.06,1547829
강원도,2017.07,1547387
강원도,2017.08,1547455
강원도,2017.09,1547768
강원도,2017.10,1547999
강원도,2017.11,1549344
강원도,2017.12,1550142
강원도,2018.01,1548078
강원도,2018.02,1546259
강원도,2018.03,1546152
강원도,2018.04,1545452
강원도,2018.05,1545291
강원도,2018.06,1544843
강원도,2018.07,1544258
강원도,2018.08,1543668
강원도,2018.09,1543780
