행정구역별(1),행정구역별(2),year,일반폐기물재활용률,총재활용량,생활폐기물총발생량
서울특별시,종로구,2010,65.6,288.0,439.0
서울특별시,중구,2010,54.5,288.4,529.2
서울특별시,용산구,2010,88.8,180.8,203.7
서울특별시,성동구,2010,62.8,177.2,282.0
서울특별시,광진구,2010,73.6,288.6,392.3
서울특별시,동대문구,2010,68.2,279.3,409.4
서울특별시,중랑구,2010,57.7,124.0,214.9
서울특별시,성북구,2010,67.2,240.4,357.8
서울특별시,강북구,2010,62.3,145.4,233.4
서울특별시,도봉구,2010,81.3,325.7,400.6
서울특별시,노원구,2010,64.1,290.1,452.9
서울특별시,은평구,2010,49.3,130.4,264.6
서울특별시,서대문구,2010,62.5,192.8,308.3
서울특별시,마포구,2010,54.8,166.1,303.1
서울특별시,양천구,2010,79.6,220.8,277.4
서울특별시,강서구,2010,67.0,450.0,671.4
서울특별시,구로구,2010,55.2,170.1,308.1
서울특별시,금천구,2010,69.4,136.5,196.7
서울특별시,영등포구,2010,78.0,422.1,541.1
서울특별시,동작구,2010,63.9,206.3,323.1
서울특별시,관악구,2010,47.9,163.0,340.0
서울특별시,서초구,2010,66.7,393.0,589.1
서울특별시,강남구,2010,63.8,632.2,990.5
서울특별시,송파구,2010,74.3,545.1,733.3
서울특별시,강동구,2010,52.8,136.4,258.5
부산광역시,중구,2010,45.7,36.1,79.0
부산광역시,서구,2010,66.9,80.9,120.9
부산광역시,동구,2010,66.9,67.4,100.8
부산광역시,영도구,2010,74.2,95.0,128.0
부산광역시,부산진구,2010,67.0,253.8,378.7
부산광역시,동래구,2010,71.1,168.5,236.9
부산광역시,남구,2010,71.1,167.3,235.3
부산광역시,북구,2010,74.1,193.8,261.4
부산광역시,해운대구,2010,71.2,264.5,371.4
부산광역시,사하구,2010,63.2,205.2,324.7
부산광역시,금정구,2010,72.5,159.6,220.0
부산광역시,강서구,2010,51.0,39.2,76.9
부산광역시,연제구,2010,71.3,127.5,178.9
부산광역시,수영구,2010,72.1,106.7,148.0
부산광역시,사상구,2010,68.3,190.7,279.2
부산광역시,기장군,2010,59.3,48.5,81.8
대구광역시,중구,2010,48.4,95.9,198.1
대구광역시,동구,2010,53.2,180.6,339.7
대구광역시,서구,2010,59.0,145.2,246.0
대구광역시,남구,2010,45.4,114.3,251.6
대구광역시,북구,2010,55.1,227.0,412.3
대구광역시,수성구,2010,61.7,230.3,373.4
대구광역시,달서구,2010,55.6,297.7,535.3
대구광역시,달성군,2010,67.6,154.4,228.4
인천광역시,중구,2010,58.7,120.4,205.2
인천광역시,동구,2010,75.9,78.9,103.9
인천광역시,남구,2010,70.6,283.8,401.7
인천광역시,연수구,2010,65.6,125.8,191.7
