행정구역별,year,주민1인당 생활폐기물배출량,생활폐기물발생량,주민등록인구
서울특별시,2010,1.0,10020.4,10312545
종로구,2010,2.6,439.0,170578
중구,2010,4.0,529.2,132822
중구,2010,4.0,529.2,49442
중구,2010,4.0,529.2,77857
중구,2010,4.0,529.2,92890
중구,2010,4.0,529.2,265846
중구,2010,4.0,529.2,232915
중구,2010,4.0,79.0,132822
중구,2010,4.0,79.0,49442
중구,2010,4.0,79.0,77857
중구,2010,4.0,79.0,92890
중구,2010,4.0,79.0,265846
중구,2010,4.0,79.0,232915
중구,2010,4.0,198.1,132822
중구,2010,4.0,198.1,49442
중구,2010,4.0,198.1,77857
중구,2010,4.0,198.1,92890
중구,2010,4.0,198.1,265846
중구,2010,4.0,198.1,232915
중구,2010,4.0,205.2,132822
중구,2010,4.0,205.2,49442
중구,2010,4.0,205.2,77857
중구,2010,4.0,205.2,92890
중구,2010,4.0,205.2,265846
중구,2010,4.0,205.2,232915
중구,2010,4.0,266.7,132822
중구,2010,4.0,266.7,49442
중구,2010,4.0,266.7,77857
중구,2010,4.0,266.7,92890
중구,2010,4.0,266.7,265846
중구,2010,4.0,266.7,232915
중구,2010,4.0,207.4,132822
중구,2010,4.0,207.4,49442
중구,2010,4.0,207.4,77857
중구,2010,4.0,207.4,92890
중구,2010,4.0,207.4,265846
중구,2010,4.0,207.4,232915
중구,2010,1.6,529.2,132822
중구,2010,1.6,529.2,49442
중구,2010,1.6,529.2,77857
중구,2010,1.6,529.2,92890
중구,2010,1.6,529.2,265846
중구,2010,1.6,529.2,232915
중구,2010,1.6,79.0,132822
중구,2010,1.6,79.0,49442
중구,2010,1.6,79.0,77857
중구,2010,1.6,79.0,92890
중구,2010,1.6,79.0,265846
중구,2010,1.6,79.0,232915
중구,2010,1.6,198.1,132822
중구,2010,1.6,198.1,49442
중구,2010,1.6,198.1,77857
중구,2010,1.6,198.1,92890
중구,2010,1.6,198.1,265846
중구,2010,1.6,198.1,232915
중구,2010,1.6,205.2,132822
중구,2010,1.6,205.2,49442
중구,2010,1.6,205.2,77857
중구,2010,1.6,205.2,92890
중구,2010,1.6,205.2,265846
중구,2010,1.6,205.2,232915
중구,2010,1.6,266.7,132822
중구,2010,1.6,266.7,49442
중구,2010,1.6,266.7,77857
중구,2010,1.6,266.7,92890
중구,2010,1.6,266.7,265846
중구,2010,1.6,266.7,232915
중구,2010,1.6,207.4,132822
중구,2010,1.6,207.4,49442
중구,2010,1.6,207.4,77857
중구,2010,1.6,207.4,92890
중구,2010,1.6,207.4,265846
중구,2010,1.6,207.4,232915
중구,2010,2.5,529.2,132822
중구,2010,2.5,529.2,49442
중구,2010,2.5,529.2,77857
중구,2010,2.5,529.2,92890
중구,2010,2.5,529.2,265846
중구,2010,2.5,529.2,232915
중구,2010,2.5,79.0,132822
중구,2010,2.5,79.0,49442
중구,2010,2.5,79.0,77857
중구,2010,2.5,79.0,92890
중구,2010,2.5,79.0,265846
중구,2010,2.5,79.0,232915
중구,2010,2.5,198.1,132822
중구,2010,2.5,198.1,49442
중구,2010,2.5,198.1,77857
중구,2010,2.5,198.1,92890
중구,2010,2.5,198.1,265846
중구,2010,2.5,198.1,232915
중구,2010,2.5,205.2,132822
중구,2010,2.5,205.2,49442
중구,2010,2.5,205.2,77857
중구,2010,2.5,205.2,92890
중구,2010,2.5,205.2,265846
중구,2010,2.5,205.2,232915
중구,2010,2.5,266.7,132822
중구,2010,2.5,266.7,49442
중구,2010,2.5,266.7,77857
중구,2010,2.5,266.7,92890
중구,2010,2.5,266.7,265846
중구,2010,2.5,266.7,232915
중구,2010,2.5,207.4,132822
중구,2010,2.5,207.4,49442
중구,2010,2.5,207.4,77857
중구,2010,2.5,207.4,92890
중구,2010,2.5,207.4,265846
중구,2010,2.5,207.4,232915
중구,2010,2.2,529.2,132822
중구,2010,2.2,529.2,49442
중구,2010,2.2,529.2,77857
중구,2010,2.2,529.2,92890
중구,2010,2.2,529.2,265846
중구,2010,2.2,529.2,232915
중구,2010,2.2,79.0,132822
중구,2010,2.2,79.0,49442
중구,2010,2.2,79.0,77857
중구,2010,2.2,79.0,92890
중구,2010,2.2,79.0,265846
중구,2010,2.2,79.0,232915
중구,2010,2.2,198.1,132822
중구,2010,2.2,198.1,49442
중구,2010,2.2,198.1,77857
중구,2010,2.2,198.1,92890
중구,2010,2.2,198.1,265846
중구,2010,2.2,198.1,232915
중구,2010,2.2,205.2,132822
중구,2010,2.2,205.2,49442
중구,2010,2.2,205.2,77857
중구,2010,2.2,205.2,92890
중구,2010,2.2,205.2,265846
중구,2010,2.2,205.2,232915
중구,2010,2.2,266.7,132822
중구,2010,2.2,266.7,49442
중구,2010,2.2,266.7,77857
중구,2010,2.2,266.7,92890
중구,2010,2.2,266.7,265846
중구,2010,2.2,266.7,232915
중구,2010,2.2,207.4,132822
중구,2010,2.2,207.4,49442
중구,2010,2.2,207.4,77857
중구,2010,2.2,207.4,92890
중구,2010,2.2,207.4,265846
중구,2010,2.2,207.4,232915
중구,2010,1.0,529.2,132822
중구,2010,1.0,529.2,49442
중구,2010,1.0,529.2,77857
중구,2010,1.0,529.2,92890
중구,2010,1.0,529.2,265846
중구,2010,1.0,529.2,232915
중구,2010,1.0,79.0,132822
중구,2010,1.0,79.0,49442
중구,2010,1.0,79.0,77857
중구,2010,1.0,79.0,92890
중구,2010,1.0,79.0,265846
중구,2010,1.0,79.0,232915
중구,2010,1.0,198.1,132822
중구,2010,1.0,198.1,49442
중구,2010,1.0,198.1,77857
중구,2010,1.0,198.1,92890
중구,2010,1.0,198.1,265846
중구,2010,1.0,198.1,232915
중구,2010,1.0,205.2,132822
중구,2010,1.0,205.2,49442
중구,2010,1.0,205.2,77857
중구,2010,1.0,205.2,92890
중구,2010,1.0,205.2,265846
중구,2010,1.0,205.2,232915
중구,2010,1.0,266.7,132822
중구,2010,1.0,266.7,49442
중구,2010,1.0,266.7,77857
중구,2010,1.0,266.7,92890
중구,2010,1.0,266.7,265846
중구,2010,1.0,266.7,232915
중구,2010,1.0,207.4,132822
중구,2010,1.0,207.4,49442
중구,2010,1.0,207.4,77857
중구,2010,1.0,207.4,92890
중구,2010,1.0,207.4,265846
중구,2010,1.0,207.4,232915
중구,2010,0.9,529.2,132822
중구,2010,0.9,529.2,49442
중구,2010,0.9,529.2,77857
중구,2010,0.9,529.2,92890
중구,2010,0.9,529.2,265846
중구,2010,0.9,529.2,232915
중구,2010,0.9,79.0,132822
중구,2010,0.9,79.0,49442
중구,2010,0.9,79.0,77857
중구,2010,0.9,79.0,92890
중구,2010,0.9,79.0,265846
중구,2010,0.9,79.0,232915
중구,2010,0.9,198.1,132822
중구,2010,0.9,198.1,49442
중구,2010,0.9,198.1,77857
중구,2010,0.9,198.1,92890
중구,2010,0.9,198.1,265846
중구,2010,0.9,198.1,232915
중구,2010,0.9,205.2,132822
중구,2010,0.9,205.2,49442
중구,2010,0.9,205.2,77857
중구,2010,0.9,205.2,92890
중구,2010,0.9,205.2,265846
중구,2010,0.9,205.2,232915
중구,2010,0.9,266.7,132822
중구,2010,0.9,266.7,49442
중구,2010,0.9,266.7,77857
중구,2010,0.9,266.7,92890
중구,2010,0.9,266.7,265846
중구,2010,0.9,266.7,232915
중구,2010,0.9,207.4,132822
중구,2010,0.9,207.4,49442
중구,2010,0.9,207.4,77857
중구,2010,0.9,207.4,92890
중구,2010,0.9,207.4,265846
중구,2010,0.9,207.4,232915
용산구,2010,0.8,203.7,244853
성동구,2010,0.9,282.0,309093
광진구,2010,1.0,392.3,375463
동대문구,2010,1.1,409.4,366786
중랑구,2010,0.5,214.9,427455
성북구,2010,0.7,357.8,488932
강북구,2010,0.7,233.4,346520
도봉구,2010,1.1,400.6,368298
노원구,2010,0.7,452.9,611230
은평구,2010,0.5,264.6,488109
서대문구,2010,0.9,308.3,324541
마포구,2010,0.8,303.1,391865
양천구,2010,0.6,277.4,500001
강서구,2010,1.2,671.4,574127
강서구,2010,1.2,671.4,62594
강서구,2010,1.2,76.9,574127
강서구,2010,1.2,76.9,62594
강서구,2010,1.2,671.4,574127
강서구,2010,1.2,671.4,62594
강서구,2010,1.2,76.9,574127
강서구,2010,1.2,76.9,62594
구로구,2010,0.7,308.1,423736
금천구,2010,0.8,196.7,245195
영등포구,2010,1.3,541.1,406833
동작구,2010,0.8,323.1,402709
관악구,2010,0.6,340.0,531434
서초구,2010,1.4,589.1,434720
강남구,2010,1.7,990.5,570095
송파구,2010,1.1,733.3,685279
강동구,2010,0.5,258.5,491871
부산광역시,2010,0.9,3221.9,3567910
서구,2010,1.0,120.9,126040
서구,2010,1.0,120.9,224618
서구,2010,1.0,120.9,408068
서구,2010,1.0,120.9,303219
서구,2010,1.0,120.9,499742
서구,2010,1.0,246.0,126040
서구,2010,1.0,246.0,224618
서구,2010,1.0,246.0,408068
서구,2010,1.0,246.0,303219
서구,2010,1.0,246.0,499742
서구,2010,1.0,222.2,126040
서구,2010,1.0,222.2,224618
서구,2010,1.0,222.2,408068
서구,2010,1.0,222.2,303219
서구,2010,1.0,222.2,499742
서구,2010,1.0,342.6,126040
서구,2010,1.0,342.6,224618
서구,2010,1.0,342.6,408068
서구,2010,1.0,342.6,303219
서구,2010,1.0,342.6,499742
서구,2010,1.0,456.5,126040
서구,2010,1.0,456.5,224618
서구,2010,1.0,456.5,408068
서구,2010,1.0,456.5,303219
서구,2010,1.0,456.5,499742
서구,2010,1.1,120.9,126040
서구,2010,1.1,120.9,224618
서구,2010,1.1,120.9,408068
서구,2010,1.1,120.9,303219
서구,2010,1.1,120.9,499742
서구,2010,1.1,246.0,126040
서구,2010,1.1,246.0,224618
서구,2010,1.1,246.0,408068
서구,2010,1.1,246.0,303219
서구,2010,1.1,246.0,499742
서구,2010,1.1,222.2,126040
서구,2010,1.1,222.2,224618
서구,2010,1.1,222.2,408068
서구,2010,1.1,222.2,303219
서구,2010,1.1,222.2,499742
서구,2010,1.1,342.6,126040
서구,2010,1.1,342.6,224618
서구,2010,1.1,342.6,408068
서구,2010,1.1,342.6,303219
서구,2010,1.1,342.6,499742
서구,2010,1.1,456.5,126040
서구,2010,1.1,456.5,224618
서구,2010,1.1,456.5,408068
서구,2010,1.1,456.5,303219
서구,2010,1.1,456.5,499742
서구,2010,0.5,120.9,126040
서구,2010,0.5,120.9,224618
서구,2010,0.5,120.9,408068
서구,2010,0.5,120.9,303219
서구,2010,0.5,120.9,499742
서구,2010,0.5,246.0,126040
서구,2010,0.5,246.0,224618
