행정구역별(1),행정구역별(2),year,주민1인당 생활폐기물배출량,생활폐기물발생량,주민등록인구
서울특별시,종로구,2010,2.6,439,170578
서울특별시,중구,2010,4,529.2,132822
서울특별시,용산구,2010,0.8,203.7,244853
서울특별시,성동구,2010,0.9,282,309093
서울특별시,광진구,2010,1,392.3,375463
서울특별시,동대문구,2010,1.1,409.4,366786
서울특별시,중랑구,2010,0.5,214.9,427455
서울특별시,성북구,2010,0.7,357.8,488932
서울특별시,강북구,2010,0.7,233.4,346520
서울특별시,도봉구,2010,1.1,400.6,368298
서울특별시,노원구,2010,0.7,452.9,611230
서울특별시,은평구,2010,0.5,264.6,488109
서울특별시,서대문구,2010,0.9,308.3,324541
서울특별시,마포구,2010,0.8,303.1,391865
서울특별시,양천구,2010,0.6,277.4,500001
서울특별시,강서구,2010,1.2,671.4,574127
서울특별시,구로구,2010,0.7,308.1,423736
서울특별시,금천구,2010,0.8,196.7,245195
서울특별시,영등포구,2010,1.3,541.1,406833
서울특별시,동작구,2010,0.8,323.1,402709
서울특별시,관악구,2010,0.6,340,531434
서울특별시,서초구,2010,1.4,589.1,434720
서울특별시,강남구,2010,1.7,990.5,570095
서울특별시,송파구,2010,1.1,733.3,685279
서울특별시,강동구,2010,0.5,258.5,491871
부산광역시,중구,2010,1.6,79,49442
부산광역시,서구,2010,1,120.9,126040
부산광역시,동구,2010,1,100.8,101514
부산광역시,영도구,2010,0.9,128,146798
부산광역시,부산진구,2010,1,378.7,395826
부산광역시,동래구,2010,0.8,236.9,282779
부산광역시,남구,2010,0.8,235.3,298458
부산광역시,북구,2010,0.8,261.4,312218
부산광역시,해운대구,2010,0.9,371.4,426729
부산광역시,사하구,2010,0.9,324.7,358730
부산광역시,금정구,2010,0.9,220,255419
부산광역시,강서구,2010,1.2,76.9,62594
부산광역시,연제구,2010,0.8,178.9,212696
부산광역시,수영구,2010,0.8,148,178267
부산광역시,사상구,2010,1.1,279.2,257843
부산광역시,기장군,2010,0.8,81.8,102557
대구광역시,중구,2010,2.5,198.1,77857
대구광역시,동구,2010,1,339.7,337529
대구광역시,서구,2010,1.1,246,224618
대구광역시,남구,2010,1.5,251.6,171197
대구광역시,북구,2010,0.9,412.3,452505
대구광역시,수성구,2010,0.8,373.4,461988
대구광역시,달서구,2010,0.9,535.3,607083
대구광역시,달성군,2010,1.3,228.4,178899
인천광역시,중구,2010,2.2,205.2,92890
인천광역시,동구,2010,1.3,103.9,79663
인천광역시,남구,2010,0.9,401.7,423876
인천광역시,연수구,2010,0.7,191.7,279230
인천광역시,남동구,2010,0.6,277,473423
인천광역시,부평구,2010,0.9,484.3,567493
인천광역시,계양구,2010,0.8,266.1,347810
인천광역시,서구,2010,0.5,222.2,408068
인천광역시,미추홀구,2010,-,-,-
인천광역시,강화군,2010,1,66.1,67104
인천광역시,옹진군,2010,1.1,19.7,18739
광주광역시,동구,2010,1.5,159.4,104449
광주광역시,서구,2010,1.1,342.6,303219
광주광역시,남구,2010,0.9,197.6,216863
광주광역시,북구,2010,0.9,403.9,466866
광주광역시,광산구,2010,0.8,293.4,363239
대전광역시,동구,2010,1.2,304.9,248835
대전광역시,중구,2010,1,266.7,265846
대전광역시,서구,2010,0.9,456.5,499742
대전광역시,유성구,2010,1,274.6,281692
