시도,매립지 수,총매립지 면적,총매립 용량,기매립량,잔여매립가능량,매립량(m³),매립량(톤),설치비 (국비),설치비 (지방비),설치비 (기타),연간유지관리비,매립지 관리인원,연도
부산광역시,1,747922,24494000,12781728,11712272,310994,279895,88663,275139,0,3741,48,2010
대구광역시,1,585334,9224941,9040442,184499,51979,103958,0,23168,0,6539,55,2010
인천광역시,5,19793391,262536679,110562944,151973735,3845186,3762466,2400,375812,0,275320,220,2010
광주광역시,2,263966,2924906,2634605,290301,233269,675548,28138,62356,2050,3015,39,2010
대전광역시,1,680256,8762063,6576696,2185367,249500,249500,8043,146115,0,4668,41,2010
울산광역시,2,288263,5271656,4303548,968108,199226,174104,2801,26340,0,2099,28,2010
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,2010
경기도,10,480959,7154446,3192622,3961824,104375,85669,50877,90936,16427,3563,45,2010
강원도,24,1112776,15189155,10609452,4579703,554714,470677,95579,221237,9621,10986,147,2010
충청북도,14,409754,5092844,3591165,1501679,166768,147092,34576,91300,0,8126,75,2010
충청남도,16,580825,6652540,3320533,3332007,323734,216460,36630,130594,200,7537,60,2010
전라북도,16,913552,8883534,5642078,3241456,261316,170058,65553,110107,31200,4545,69,2010
전라남도,55,1323056,16587158,8928703,7658455,364876,292056,80990,173686,15778,214868,246,2010
경상북도,43,859845,11316172,5907001,5409171,5409171,501544,73138,189887,656,12672,154,2010
경상남도,28,2073117,24147958,11673435,12474523,438360,368751,103672,231337,29339,15164,138,2010
제주특별자치도,11,321550,2694912,2008879,686033,86160,81377,22041,48736,0,4060,29,2010
부산광역시,1,747922,24494000,13296449,11197551,514721,283097,88663,275139,0,4228,48,2011
대구광역시,1,853400,32378541,10016312,22362229,326258,554509,27458,174991,0,5804,55,2011
인천광역시,5,19793391,245809381,115894824,129914557,4952324,4142707,2400,375812,0,275330,220,2011
광주광역시,2,263966,2924906,2846234,78672,211629,148411,28138,62356,2050,2654,0,2011
대전광역시,1,608256,8762063,6841495,1920568,262750,183852,8043,146115,0,5562,40,2011
울산광역시,2,288263,5271656,4441514,830142,137966,105706,2801,25294,0,2713,29,2011
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,2011
경기도,10,753098,8463371,3261350,5202021,174078,105597,58203,95535,42433,4813,57,2011
강원도,24,1202476,16374043,11052459,5321584,529355,406458,103258,235982,9621,11101,153,2011
충청북도,12,402065,4936344,3301048,1635296,112443,99096,34576,83937,0,6958,65,2011
충청남도,16,567404,7051784,3495293,3556491,226805,570603,37397,129573,200,8028,63,2011
전라북도,15,913552,8883534,5906011,2977523,263933,180384,65543,110117,31200,3989,67,2011
전라남도,56,1425016,16624471,9453475,7170996,538382,466366,75321,142973,15778,14550,240,2011
경상북도,40,1136694,15842007,6488609,9353398,585840,430509,111404,253778,86406,20249,153,2011
경상남도,27,2048271,23858958,10773658,13085300,415753,335454,99645,227929,29339,12082,119,2011
제주특별자치도,10,316484,2665824,2051700,614124,71895,103814,22041,48347,0,1697,29,2011
부산광역시,1,747922,24494000,13240816,11253184,519345,285640,88663,275139,0,4220,48,2012
대구광역시,1,853400,32378541,10343941,22034600,327629,556840,27458,174991,0,6412,54,2012
인천광역시,5,19793391,245809381,119050213,126759168,3155389,3081509,2400,375812,0,371711,242,2012
광주광역시,1,177790,4220000,1977225,2242775,187897,131528,24789,79549,0,3186,28,2012
대전광역시,1,608256,8762000,7087807,1674193,246312,171674,8043,146115,0,4426,39,2012
울산광역시,2,360276,7064656,4171667,2892989,125667,113000,6489,0,28677,2195,35,2012
세종특별자치시,1,5569,21635,8931,12704,5327,3835,1500,1914,0,150,2,2012
경기도,9,720198,8299574,3318519,4981055,145193,110926,58203,94958,42433,4903,54,2012
강원도,24,1202476,16374043,11314574,5059469,364470,366187,103258,235982,9621,11893,160,2012
충청북도,13,438719,5393650,3461827,1931823,132350,116054,41344,102127,0,4818,62,2012
충청남도,16,628462,7428629,3682667,3745962,224639,143789,38833,153655,200,9141,63,2012
전라북도,15,913552,8883534,6200828,2682706,303629,212270,65554,80517,60787,4639,71,2012
전라남도,58,1315626,16630388,9886173,6744215,394984,350391,80505,141467,20384,13311,229,2012
경상북도,38,1017104,14426974,6436227,7990747,388694,267316,85322,236151,1200,12335,151,2012
경상남도,28,2135840,23951093,11164874,12786219,377092,313349,73306,257341,1500,11901,126,2012
제주특별자치도,10,316484,2675544,2184780,490764,116881,112734,22041,48347,0,1317,32,2012
부산광역시,1,747922,24494000,13749359,10744641,508543,277104,88663,275139,0,4220,48,2013
대구광역시,1,853400,32378541,10600417,21778124,256476,435907,27458,174991,0,6821,54,2013
인천광역시,5,19793391,245809381,122390535,123418846,3340322,3142583,2400,375812,0,306348,249,2013
광주광역시,1,644159,9480000,1868000,7612000,122024,85416,46860,109340,0,870,27,2013
대전광역시,1,707515,8762000,7369247,1392753,281440,261803,8043,146115,0,4492,39,2013
울산광역시,2,360276,7064656,4275306,2789350,103639,93945,1527,0,0,323,17,2013
세종특별자치시,1,5569,21635,19238,2397,4980,3984,1500,1914,0,150,2,2013
경기도,9,706198,8285336,3428117,4857219,109598,99512,52837,60355,64321,7977,51,2013
강원도,24,1202476,16416722,11164241,5252481,421495,385974,103258,235982,9621,11343,154,2013
충청북도,13,438719,5393650,3570996,1822654,150309,128654,41344,102127,0,4451,55,2013
충청남도,16,628462,7429149,3899774,3529375,247626,158496,38833,153655,200,7516,61,2013
전라북도,14,855068,8388934,6113916,2275018,311116,217570,62124,115713,29587,4418,67,2013
전라남도,58,1618335,16630388,9957032,6673356,327997,307126,89492,163781,20384,41796,210,2013
경상북도,38,1028558,14283396,6573126,7710270,336931,222445,85322,236033,2406,10777,153,2013
