,시도,매립지 수,총매립지 면적,총매립 용량,기매립량,잔여매립가능량,매립량(m³),매립량(톤),연간유지관리비,매립지 관리인원,연도,설치비
0,부산광역시,1,747922,24494000,12781728,11712272,310994,279895,3741,48,2010,363802
1,대구광역시,1,585334,9224941,9040442,184499,51979,103958,6539,55,2010,23168
2,인천광역시,5,19793391,262536679,110562944,151973735,3845186,3762466,275320,220,2010,378212
3,광주광역시,2,263966,2924906,2634605,290301,233269,675548,3015,39,2010,92544
4,대전광역시,1,680256,8762063,6576696,2185367,249500,249500,4668,41,2010,154158
5,울산광역시,2,288263,5271656,4303548,968108,199226,174104,2099,28,2010,29141
6,세종특별자치시,0,0,0,0,0,0,0,0,0,2010,0
7,경기도,10,480959,7154446,3192622,3961824,104375,85669,3563,45,2010,158240
8,강원도,24,1112776,15189155,10609452,4579703,554714,470677,10986,147,2010,326437
9,충청북도,14,409754,5092844,3591165,1501679,166768,147092,8126,75,2010,125876
10,충청남도,16,580825,6652540,3320533,3332007,323734,216460,7537,60,2010,167424
11,전라북도,16,913552,8883534,5642078,3241456,261316,170058,4545,69,2010,206860
12,전라남도,55,1323056,16587158,8928703,7658455,364876,292056,214868,246,2010,270454
13,경상북도,43,859845,11316172,5907001,5409171,5409171,501544,12672,154,2010,263681
14,경상남도,28,2073117,24147958,11673435,12474523,438360,368751,15164,138,2010,364348
15,제주특별자치도,11,321550,2694912,2008879,686033,86160,81377,4060,29,2010,70777
16,부산광역시,1,747922,24494000,13296449,11197551,514721,283097,4228,48,2011,363802
17,대구광역시,1,853400,32378541,10016312,22362229,326258,554509,5804,55,2011,202449
18,인천광역시,5,19793391,245809381,115894824,129914557,4952324,4142707,275330,220,2011,378212
19,광주광역시,2,263966,2924906,2846234,78672,211629,148411,2654,0,2011,92544
20,대전광역시,1,608256,8762063,6841495,1920568,262750,183852,5562,40,2011,154158
21,울산광역시,2,288263,5271656,4441514,830142,137966,105706,2713,29,2011,28095
22,세종특별자치시,0,0,0,0,0,0,0,0,0,2011,0
23,경기도,10,753098,8463371,3261350,5202021,174078,105597,4813,57,2011,196171
24,강원도,24,1202476,16374043,11052459,5321584,529355,406458,11101,153,2011,348861
25,충청북도,12,402065,4936344,3301048,1635296,112443,99096,6958,65,2011,118513
26,충청남도,16,567404,7051784,3495293,3556491,226805,570603,8028,63,2011,167170
27,전라북도,15,913552,8883534,5906011,2977523,263933,180384,3989,67,2011,206860
28,전라남도,56,1425016,16624471,9453475,7170996,538382,466366,14550,240,2011,234072
29,경상북도,40,1136694,15842007,6488609,9353398,585840,430509,20249,153,2011,451588
30,경상남도,27,2048271,23858958,10773658,13085300,415753,335454,12082,119,2011,356913
31,제주특별자치도,10,316484,2665824,2051700,614124,71895,103814,1697,29,2011,70388
32,부산광역시,1,747922,24494000,13240816,11253184,519345,285640,4220,48,2012,363802
33,대구광역시,1,853400,32378541,10343941,22034600,327629,556840,6412,54,2012,202449
34,인천광역시,5,19793391,245809381,119050213,126759168,3155389,3081509,371711,242,2012,378212
