,시도,시설 수,일별 시설용량(톤),1일평균가동시간,처리량 (톤),설치비 (국비),설치비 (지방비),설치비 (기타),연간유지관리비,관리인원,외부공급(열),외부공급(전력),자체사용(열),자체사용(전력),연도
1,서울특별시,5,2898,21,718284,61302,326821,27700,39870,228,1363015,8245,280493,17202,2010
2,부산광역시,3,840,24,252262,21036,75428,14554,11286,106,285412,0,222577,24710,2010
3,대구광역시,1,480,24,126811,8201,63817,0,8514,46,167144,1535,74513,39289,2010
4,인천광역시,9,957,12,264024,75259,144232,670,18283,185,156997,0,334214,0,2010
5,광주광역시,1,400,19,85679,0,74300,0,6870,49,40978,0,21993,97228,2010
6,대전광역시,1,400,24,102587,21555,49058,0,8154,38,87203,0,77172,0,2010
7,울산광역시,1,400,24,108058,18290,43262,0,8000,49,86520,0,49502,92873,2010
8,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,2010
9,경기도,23,5215,22,1096629,173614,708879,365348,98902,769,1247509,40867,830727,252032,2010
10,강원도,13,264,19,51655,17619,39303,5950,9918,142,186,0,7773,197,2010
11,충청북도,10,471,18,109358,45845,118038,0,12013,134,89907,4948,82552,5199,2010
12,충청남도,12,566,22,158028,34521,79507,27919,22654,199,104213,0,81672,0,2010
13,전라북도,2,600,24,150255,58256,73447,45976,6056,89,45487,68154,76115,81754,2010
14,전라남도,47,518,12,86134,38478,72931,16514,15944,258,515,0,257089,567,2010
15,경상북도,23,380,16,87872,26849,37403,24417,14694,188,0,0,23587,9991,2010
16,경상남도,18,1417,20,331670,52038,204524,60323,65702,320,201743,78953,293469,118859,2010
17,제주특별자치도,7,275,10,66307,26859,42398,0,8968,97,399,0,50680,59516,2010
19,서울특별시,5,2898,24,741018,46900,326821,27689,59348,311,1141584,866,350827,7587,2011
20,부산광역시,3,840,24,258970,21036,75428,14554,14780,108,303688,-,209893,24641,2011
21,대구광역시,1,480,24,130741,8201,63817,0,7633,46,159006,4727,66146,49605,2011
22,인천광역시,3,945,16,255265,72739,142582,670,16755,75,150465,1212,3200,17677,2011
23,광주광역시,1,400,19,85679,0,74300,0,6870,49,40978,0,21993,97228,2011
24,대전광역시,1,400,24,103227,21555,49058,-,7962,40,171091,-,70093,-,2011
25,울산광역시,1,400,24,105707,18290,43262,0,8307,49,92227,0,49061,52196,2011
26,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,2011
27,경기도,23,5005,22,1096617,171769,699591,409153,105358,802,1227281,54426,792537,247862,2011
28,강원도,14,355,19,77536,24603,56674,5950,13688,169,1089,0,48270,13467,2011
29,충청북도,9,465,19,108830,48914,111700,2558,14191,136,87013,5666,93243,52110,2011
