행정구역별,폐기물별,년도,발생량[톤/일],재활용[톤/일],비율
서울특별시,생활계폐기물,2009,11445.0,7508.0,65.6006989951944
서울특별시,사업장배출시설계폐기물,2009,2322.0,869.0,37.42463393626184
서울특별시,건설폐기물,2009,31774.0,30100.0,94.731541511928
서울특별시,지정폐기물,2009,214.0,73.0,34.112149532710276
종로구,생활계폐기물,2009,433.0,273.0,63.04849884526559
종로구,사업장배출시설계폐기물,2009,,,
종로구,건설폐기물,2009,645.0,610.0,94.57364341085271
종로구,지정폐기물,2009,3.0,1.0,33.33333333333333
중구,생활계폐기물,2009,621.0,405.0,65.21739130434783
중구,생활계폐기물,2009,621.0,38.0,6.119162640901772
중구,생활계폐기물,2009,621.0,60.0,9.66183574879227
중구,생활계폐기물,2009,621.0,143.0,23.027375201288244
중구,생활계폐기물,2009,621.0,159.0,25.60386473429952
중구,생활계폐기물,2009,621.0,131.0,21.09500805152979
중구,생활계폐기물,2009,82.0,405.0,493.9024390243903
중구,생활계폐기물,2009,82.0,38.0,46.34146341463415
중구,생활계폐기물,2009,82.0,60.0,73.17073170731707
중구,생활계폐기물,2009,82.0,143.0,174.390243902439
중구,생활계폐기물,2009,82.0,159.0,193.90243902439025
중구,생활계폐기물,2009,82.0,131.0,159.7560975609756
중구,생활계폐기물,2009,175.0,405.0,231.42857142857144
중구,생활계폐기물,2009,175.0,38.0,21.714285714285715
중구,생활계폐기물,2009,175.0,60.0,34.285714285714285
중구,생활계폐기물,2009,175.0,143.0,81.71428571428572
중구,생활계폐기물,2009,175.0,159.0,90.85714285714286
중구,생활계폐기물,2009,175.0,131.0,74.85714285714286
중구,생활계폐기물,2009,226.0,405.0,179.20353982300884
중구,생활계폐기물,2009,226.0,38.0,16.8141592920354
중구,생활계폐기물,2009,226.0,60.0,26.548672566371685
중구,생활계폐기물,2009,226.0,143.0,63.27433628318584
중구,생활계폐기물,2009,226.0,159.0,70.35398230088495
중구,생활계폐기물,2009,226.0,131.0,57.9646017699115
중구,생활계폐기물,2009,293.0,405.0,138.22525597269623
중구,생활계폐기물,2009,293.0,38.0,12.969283276450511
중구,생활계폐기물,2009,293.0,60.0,20.477815699658702
