지역,연도,폐기물 소분류,분류,가동업체수,재활용 폐기물량,판매량,판매총액
강원도,2019,유기성오니류,허가업체,68,436844.0,36906.0,326490.0
강원도,2019,무기성오니류,허가업체,31,1009937.0,361541.0,26030991.0
강원도,2019,폐합성고분자화합물,허가업체,90,852900.0,170449.0,23801203.0
강원도,2019,광재류,허가업체,6,104067.0,75769.0,0.0
강원도,2019,분진류,허가업체,7,35391.0,0.0,0.0
강원도,2019,폐주물사 및 폐사,허가업체,17,686622.0,92764.0,63119.0
강원도,2019,소각재,허가업체,1,7615.0,0.0,0.0
강원도,2019,폐흡착제 및 폐흡수제,허가업체,4,5247.0,123.0,184815.0
강원도,2019,폐석고 및 폐석회,허가업체,3,41324.0,0.0,0.0
강원도,2019,연소잔재물,허가업체,11,1701732.0,5657854.0,167942969.0
강원도,2019,폐석재류,허가업체,1,65196.0,65198.0,0.0
강원도,2019,폐타이어,허가업체,10,257773.0,30729.0,827065.0
강원도,2019,폐식용유,허가업체,1,64.0,0.0,0.0
강원도,2019,동·식물성잔재물,허가업체,50,45849.0,47180.0,25726552.0
강원도,2019,폐전기전자제품류,허가업체,6,637.0,495.0,548917.0
강원도,2019,폐목재류,허가업체,82,70526.0,38298.0,284127.0
강원도,2019,"폐콘크리트류, 폐아스팔트",허가업체,4,1926.0,2139.0,44949.0
강원도,2019,폐섬유류,허가업체,4,76.0,0.0,0.0
강원도,2019,폐지류,허가업체,2,751.0,0.0,0.0
강원도,2019,폐금속류,허가업체,0,0.0,0.0,0.0
강원도,2019,폐유리류,허가업체,5,31535.0,8975.0,619782.0
강원도,2019,"폐타일, 폐판넬",허가업체,2,933.0,0.0,0.0
강원도,2019,폐전주,허가업체,1,14652.0,2860.0,272345.0
강원도,2019,음식물류폐기물 및 처리물,허가업체,13,12514.0,4440.0,117193.0
강원도,2019,폐사료,허가업체,2,253.0,67.0,6106.0
강원도,2019,그 밖의 폐기물,허가업체,15,18209.0,3317.0,6562.0
강원도,2019,폐산,허가업체,2,1744.0,48.0,42871.0
강원도,2019,폐알칼리,허가업체,2,955.0,0.0,0.0
강원도,2019,폐유기용제,허가업체,2,582.0,1829.0,2600096.0
강원도,2019,폐유독물질,허가업체,1,33.0,0.0,0.0
강원도,2019,음식물류 폐기물,허가업체,0,0.0,0.0,0.0
강원도,2019,폐식용유,허가업체,0,0.0,0.0,0.0
강원도,2019,폐지류(종이팩을 포함한다),허가업체,0,0.0,0.0,0.0
강원도,2019,고철 및 금속캔류,허가업체,0,0.0,0.0,0.0
강원도,2019,폐합성수지,허가업체,4,366.0,106.0,60755.0
강원도,2019,폐합성고무류,허가업체,1,45.0,0.0,0.0
강원도,2019,유리병 및 폐유리,허가업체,1,27.0,0.0,0.0
강원도,2019,폐의류 및 원단류,허가업체,0,0.0,0.0,0.0
강원도,2019,폐전기전자제품,허가업체,0,0.0,0.0,0.0
강원도,2019,식물성 잔재물,허가업체,0,0.0,0.0,0.0
경기도,2019,유기성오니류,허가업체,70,232974.0,128168.0,620475.0
경기도,2019,무기성오니류,허가업체,129,1673676.0,435232.0,905539.0
경기도,2019,폐합성고분자화합물,허가업체,1313,2254077.0,1814771.0,448182293.0
경기도,2019,광재류,허가업체,43,64829.0,32293.0,22312811.0
경기도,2019,분진류,허가업체,39,36914.0,6602.0,1571515.0
경기도,2019,폐주물사 및 폐사,허가업체,23,74897.0,57609.0,1322225.0
경기도,2019,폐내화물 및 폐도자기조각,허가업체,17,18002.0,3342.0,1004360.0
경기도,2019,소각재,허가업체,7,40970.0,32150.0,213288.0
경기도,2019,안정화 또는 고형화·고화 처리물,허가업체,1,1100.0,1092.0,1896.0
경기도,2019,폐촉매,허가업체,20,2159.0,693.0,53429803.0
경기도,2019,폐흡착제 및 폐흡수제,허가업체,25,16495.0,13413.0,4622983.0
경기도,2019,폐석고 및 폐석회,허가업체,5,1419.0,5487.0,0.0
경기도,2019,연소잔재물,허가업체,9,382090.0,661938.0,6337291.0
경기도,2019,폐석재류,허가업체,15,30216.0,37949.0,14110.0
경기도,2019,폐타이어,허가업체,18,57510.0,55136.0,1605565.0
경기도,2019,폐식용유,허가업체,49,101761.0,163331.0,97816074.0
경기도,2019,동·식물성잔재물,허가업체,154,155433.0,85885.0,38302455.0
경기도,2019,폐전기전자제품류,허가업체,161,126607.0,93494.0,81876037.0
경기도,2019,왕겨 및 쌀겨,허가업체,7,5984.0,5961.0,2837571.0
경기도,2019,폐목재류,허가업체,383,707963.0,963990.0,19230726.0
경기도,2019,폐토사류,허가업체,19,101048.0,32734.0,0.0
경기도,2019,"폐콘크리트류, 폐아스팔트",허가업체,5,47119.0,98079.0,2126670.0
경기도,2019,폐섬유류,허가업체,87,50164.0,117398.0,12551057.0
경기도,2019,폐지류,허가업체,13,56375.0,8644.0,1839199.0
경기도,2019,폐금속류,허가업체,50,206790.0,151460.0,94655061.0
경기도,2019,폐유리류,허가업체,42,217721.0,261798.0,45703253.0
경기도,2019,"폐보드, 폐판넬",허가업체,12,44409.0,31106.0,10978.0
경기도,2019,"폐전주, 폐냉매물질",허가업체,3,35842.0,35501.0,193050.0
경기도,2019,음식물류폐기물 및 처리물,허가업체,100,933220.0,190401.0,943274.0
경기도,2019,"폐소화기, 폐전지, 폐흑연가루",허가업체,9,3449.0,3061.0,1341959.0
경기도,2019,그 밖의 폐기물,허가업체,87,122171.0,23421.0,1710933.0
경기도,2019,폐합성고분자화합물,허가업체,64,20993.0,34026.0,18151171.0
경기도,2019,오니류,허가업체,9,512.0,247.0,0.0
경기도,2019,폐산,허가업체,76,313888.0,250586.0,359363466.0
경기도,2019,폐알칼리,허가업체,21,5072.0,13109.0,3152737.0
경기도,2019,광재(鑛滓),허가업체,8,3091.0,4415.0,6136096.0
경기도,2019,분진,허가업체,6,2614.0,37.0,0.0
경기도,2019,소각재,허가업체,2,13212.0,14517.0,230000.0
경기도,2019,폐흡착제 및 폐흡수제,허가업체,3,553.0,190.0,0.0
경기도,2019,폐유기용제,허가업체,104,275675.0,149652.0,41620027.0
경기도,2019,폐페인트 및 폐락카,허가업체,74,15569.0,2318.0,3065358.0
경기도,2019,폐유,허가업체,217,200814.0,192265.0,68908685.0
경기도,2019,폐유독물질,허가업체,10,1490.0,6.0,23939.0
경기도,2019,음식물류 폐기물,허가업체,0,0.0,0.0,0.0
경기도,2019,폐식용유,허가업체,0,0.0,0.0,0.0
경기도,2019,폐지류(종이팩을 포함한다),허가업체,2,31984.0,31705.0,3709732.0
경기도,2019,고철 및 금속캔류,허가업체,1,608.0,608.0,295629.0
경기도,2019,폐합성수지,허가업체,26,27934.0,39219.0,24085081.0
경기도,2019,폐합성고무류,허가업체,1,49.0,0.0,0.0
경기도,2019,유리병 및 폐유리,허가업체,2,300.0,300.0,97826.0
경기도,2019,폐의류 및 원단류,허가업체,1,36.0,36.0,180376.0
경기도,2019,폐전기전자제품,허가업체,27,21379.0,17823.0,10097737.0
경기도,2019,폐목재 및 폐가구류,허가업체,2,24041.0,0.0,0.0
경기도,2019,"폐타일 및 도자기류, 폐형광등",허가업체,0,0.0,0.0,0.0
경기도,2019,폐전지류,허가업체,0,0.0,0.0,0.0
경기도,2019,식물성 잔재물,허가업체,1,15.0,0.0,0.0
경기도,2019,영농폐기물,허가업체,2,647.0,601.0,0.0
경기도,2019,그 밖의 생활폐기물,허가업체,4,5065.0,5065.0,0.0
경상남도,2019,유기성오니류,허가업체,134,173764.0,73670.0,1005671.0
경상남도,2019,무기성오니류,허가업체,87,276330.0,117786.0,29495061.0
경상남도,2019,폐합성고분자화합물,허가업체,476,650844.0,447563.0,138863160.0
경상남도,2019,광재류,허가업체,112,507701.0,557039.0,27100751.0
경상남도,2019,분진류,허가업체,52,106422.0,88839.0,9292199.0
경상남도,2019,폐주물사 및 폐사,허가업체,24,159273.0,39288.0,51883.0
경상남도,2019,폐내화물 및 폐도자기조각,허가업체,13,52575.0,199638.0,7334771.0
경상남도,2019,소각재,허가업체,6,27188.0,18287.0,270692.0
경상남도,2019,폐촉매,허가업체,13,6081.0,11083.0,13561293.0
경상남도,2019,폐흡착제 및 폐흡수제,허가업체,16,15964.0,13199.0,6610753.0
경상남도,2019,폐석고 및 폐석회,허가업체,4,37944.0,411.0,16189.0
경상남도,2019,연소잔재물,허가업체,7,797140.0,774730.0,9758018.0
경상남도,2019,폐석재류,허가업체,5,7893.0,3240.0,305000.0
경상남도,2019,폐타이어,허가업체,16,63821.0,71059.0,5397973.0
경상남도,2019,폐식용유,허가업체,12,12103.0,13272.0,10674377.0
경상남도,2019,동·식물성잔재물,허가업체,93,241829.0,158919.0,46342711.0
경상남도,2019,폐전기전자제품류,허가업체,31,7873.0,2574.0,1164253.0
경상남도,2019,왕겨 및 쌀겨,허가업체,0,0.0,0.0,0.0
경상남도,2019,폐목재류,허가업체,177,229046.0,231511.0,9282864.0
경상남도,2019,폐토사류,허가업체,5,4680.0,570.0,55000.0
경상남도,2019,폐콘크리트류,허가업체,3,714.0,100.0,100.0
경상남도,2019,폐섬유류,허가업체,22,6732.0,6914.0,24481447.0
경상남도,2019,폐지류,허가업체,2,103.0,1249.0,0.0
경상남도,2019,폐금속류,허가업체,28,75475.0,95760.0,43688310.0
경상남도,2019,폐유리류,허가업체,10,21749.0,49119.0,22756957.0
경상남도,2019,"폐보드, 페판넬",허가업체,3,4254.0,590.0,195688.0
경상남도,2019,폐전주,허가업체,2,289.0,172.0,51699.0
경상남도,2019,음식물류폐기물 및 처리물,허가업체,37,99563.0,30920.0,2863465.0
경상남도,2019,폐사료,허가업체,1,492.0,0.0,0.0
경상남도,2019,"폐소화기류, 폐전지",허가업체,8,9166.0,27961.0,53660753.0
경상남도,2019,그 밖의 폐기물,허가업체,59,60690.0,11696.0,300488.0
경상남도,2019,폐합성고분자화합물,허가업체,3,43.0,2582.0,180717.0
경상남도,2019,오니류,허가업체,17,21155.0,17727.0,8980363.0
경상남도,2019,폐산,허가업체,27,63267.0,36656.0,51315253.0
경상남도,2019,폐알칼리,허가업체,7,2534.0,620.0,1471806.0
경상남도,2019,광재(鑛滓),허가업체,6,1775.0,1187.0,753912.0
경상남도,2019,분진,허가업체,4,23961.0,21217.0,688998.0
경상남도,2019,폐촉매,허가업체,4,2936.0,764.0,3615187.0
경상남도,2019,폐유기용제,허가업체,60,121257.0,81052.0,21266790.0
경상남도,2019,폐페인트 및 폐락카,허가업체,56,24458.0,12490.0,4702015.0
경상남도,2019,폐유,허가업체,300,315076.0,247877.0,39110086.0
경상남도,2019,폐유독물질,허가업체,7,689.0,121.0,31782.0
경상남도,2019,의료폐기물,허가업체,1,4.0,10.0,3524463.0
경상남도,2019,음식물류 폐기물,허가업체,1,13020.0,9652.0,1496131.0
경상남도,2019,폐식용유,허가업체,0,0.0,0.0,0.0
경상남도,2019,폐지류(종이팩을 포함한다),허가업체,1,32.0,32.0,0.0
경상남도,2019,고철 및 금속캔류,허가업체,0,0.0,0.0,0.0
경상남도,2019,폐합성수지,허가업체,3,7977.0,7977.0,657840.0
경상남도,2019,유리병 및 폐유리,허가업체,1,19276.0,20611.0,1771150.0
경상남도,2019,폐의류 및 원단류,허가업체,0,0.0,0.0,0.0
경상남도,2019,폐전기전자제품,허가업체,74,27365.0,23503.0,9557527.0
경상남도,2019,폐전지류,허가업체,0,0.0,0.0,0.0
경상남도,2019,동물성 잔재물,허가업체,0,0.0,0.0,0.0
경상남도,2019,식물성 잔재물,허가업체,2,1870.0,1856.0,301169.0
경상남도,2019,폐소화기류,허가업체,2,65.0,12.0,3716.0
경상북도,2019,유기성오니류,허가업체,133,443406.0,116444.0,9604975.0
경상북도,2019,무기성오니류,허가업체,100,757471.0,391500.0,43829901.0
경상북도,2019,폐합성고분자화합물,허가업체,598,819330.0,690801.0,250015787.0
경상북도,2019,광재류,허가업체,44,3864559.0,4663794.0,14879032.0
경상북도,2019,분진류,허가업체,59,311845.0,91047.0,10051041.0
경상북도,2019,폐주물사 및 폐사,허가업체,13,175560.0,215457.0,552185.0
경상북도,2019,폐내화물 및 폐도자기조각,허가업체,29,127968.0,50286.0,5269595.0
경상북도,2019,소각재,허가업체,5,24007.0,3250.0,77410.0
경상북도,2019,안정화 또는 고형화·고화 처리물,허가업체,1,1358.0,0.0,0.0
경상북도,2019,폐촉매,허가업체,10,2575.0,32.0,918473.0
경상북도,2019,폐흡착제 및 폐흡수제,허가업체,29,24183.0,10078.0,3429754.0
경상북도,2019,폐석고 및 폐석회,허가업체,5,17283.0,625.0,30481.0
경상북도,2019,연소잔재물,허가업체,12,140143.0,1749064.0,96818821.0
경상북도,2019,폐석재류,허가업체,2,635.0,635.0,0.0
경상북도,2019,폐타이어,허가업체,11,23052.0,38907.0,3115533.0
경상북도,2019,폐식용유,허가업체,2,544.0,482.0,291464.0
경상북도,2019,동·식물성잔재물,허가업체,102,126718.0,112198.0,52928484.0
경상북도,2019,폐전기전자제품류,허가업체,17,6038.0,4854.0,15619357.0
경상북도,2019,왕겨 및 쌀겨,허가업체,1,654.0,0.0,0.0
경상북도,2019,폐목재류,허가업체,169,202800.0,193851.0,3821101.0
경상북도,2019,폐토사류,허가업체,11,30879.0,0.0,0.0
경상북도,2019,폐섬유류,허가업체,54,33683.0,110162.0,133809285.0
경상북도,2019,폐지류,허가업체,2,75.0,0.0,0.0
경상북도,2019,폐금속류,허가업체,20,537900.0,970048.0,70046494.0
경상북도,2019,폐유리류,허가업체,28,68446.0,63976.0,7356494.0
경상북도,2019,"폐보드, 폐판넬",허가업체,9,7896.0,6401.0,117281.0
경상북도,2019,폐냉매물질,허가업체,17,134.0,0.0,0.0
경상북도,2019,음식물류폐기물 및 처리물,허가업체,38,132869.0,46519.0,621567.0
경상북도,2019,폐사료,허가업체,2,4625.0,0.0,0.0
경상북도,2019,"폐전지, 폐흑연가루, 폐차발생폐기물",허가업체,7,118636.0,78764.0,73227.0
경상북도,2019,그 밖의 폐기물,허가업체,54,38182.0,17203.0,3530524.0
경상북도,2019,폐합성고분자화합물,허가업체,21,17765.0,17902.0,2664246.0
경상북도,2019,오니류,허가업체,8,6444.0,1777.0,328605.0
경상북도,2019,폐산,허가업체,85,375515.0,369747.0,290748942.0
경상북도,2019,폐알칼리,허가업체,9,5824.0,3935.0,280716.0
경상북도,2019,광재(鑛滓),허가업체,2,1540.0,359.0,957908.0
경상북도,2019,분진,허가업체,16,486517.0,296287.0,184735301.0
경상북도,2019,폐촉매,허가업체,1,9267.0,802.0,0.0
경상북도,2019,폐유기용제,허가업체,33,66827.0,71935.0,11976239.0
경상북도,2019,폐페인트 및 폐락카,허가업체,7,3468.0,0.0,0.0
경상북도,2019,폐유,허가업체,115,154930.0,103388.0,34905335.0
경상북도,2019,폐유독물질,허가업체,10,7721.0,3525.0,5938079.0
경상북도,2019,음식물류 폐기물,허가업체,1,11554.0,4020.0,459418.0
경상북도,2019,폐지류(종이팩을 포함한다),허가업체,0,0.0,0.0,0.0
경상북도,2019,폐합성수지,허가업체,4,6801.0,6801.0,3005970.0
경상북도,2019,폐의류 및 원단류,허가업체,0,0.0,0.0,0.0
경상북도,2019,폐전기전자제품,허가업체,2,24456.0,12043.0,5057671.0
경상북도,2019,동물성 잔재물,허가업체,1,106.0,45.0,45000.0
경상북도,2019,영농폐기물,허가업체,6,13349.0,2563.0,2758923.0
경상북도,2019,그 밖의 생활폐기물,허가업체,1,195.0,0.0,0.0
광주광역시,2019,폐합성고분자화합물,허가업체,68,41850.0,48789.0,11928277.0
광주광역시,2019,광재류,허가업체,2,101.0,50.0,0.0
광주광역시,2019,폐타이어,허가업체,2,13139.0,12965.0,28585889.0
광주광역시,2019,폐식용유,허가업체,1,52.0,63.0,230000.0
광주광역시,2019,동·식물성잔재물,허가업체,6,21732.0,16953.0,9409305.0
광주광역시,2019,폐전기전자제품류,허가업체,1,801.0,801.0,438110.0
광주광역시,2019,폐목재류,허가업체,30,23661.0,35379.0,719441.0
광주광역시,2019,폐섬유류,허가업체,3,3904.0,2569.0,2371501.0
광주광역시,2019,폐지류,허가업체,2,84278.0,84278.0,12519267.0
광주광역시,2019,폐금속류,허가업체,5,7727.0,7631.0,8318422.0
광주광역시,2019,폐유리류,허가업체,0,0.0,0.0,0.0
광주광역시,2019,폐보드류,허가업체,2,2675.0,2604.0,0.0
광주광역시,2019,음식물류폐기물 및 처리물,허가업체,7,3488.0,0.0,0.0
광주광역시,2019,그 밖의 폐기물,허가업체,8,2701.0,1424.0,358739.0
광주광역시,2019,폐합성고분자화합물,허가업체,1,19.0,18.0,10800.0
광주광역시,2019,오니류,허가업체,1,132.0,63.0,86347.0
광주광역시,2019,폐산,허가업체,6,1066.0,301.0,644457.0
광주광역시,2019,폐알칼리,허가업체,2,227.0,77.0,192550.0
광주광역시,2019,광재(鑛滓),허가업체,1,0.0,0.0,0.0
광주광역시,2019,폐유기용제,허가업체,1,8.0,0.0,0.0
광주광역시,2019,폐유,허가업체,9,2672.0,1743.0,762391.0
광주광역시,2019,음식물류 폐기물,허가업체,0,0.0,0.0,0.0
광주광역시,2019,폐지류(종이팩을 포함한다),허가업체,0,0.0,0.0,0.0
광주광역시,2019,고철 및 금속캔류,허가업체,0,0.0,0.0,0.0
광주광역시,2019,폐합성수지,허가업체,6,7786.0,3348.0,1701032.0
광주광역시,2019,유리병 및 폐유리,허가업체,0,0.0,0.0,0.0
광주광역시,2019,폐의류 및 원단류,허가업체,0,0.0,0.0,0.0
광주광역시,2019,폐전기전자제품,허가업체,0,0.0,0.0,0.0
광주광역시,2019,폐목재 및 폐가구류,허가업체,1,527.0,527.0,17905.0
대구광역시,2019,유기성오니류,허가업체,1,16860.0,21165.0,0.0
대구광역시,2019,무기성오니류,허가업체,2,4456.0,0.0,0.0
대구광역시,2019,폐합성고분자화합물,허가업체,129,273373.0,155480.0,23204318.0
대구광역시,2019,광재류,허가업체,1,31.0,0.0,0.0
대구광역시,2019,분진류,허가업체,2,198.0,198.0,36418.0
대구광역시,2019,폐내화물 및 폐도자기조각,허가업체,1,155.0,0.0,0.0
대구광역시,2019,폐촉매,허가업체,3,54.0,149.0,4546195.0
대구광역시,2019,연소잔재물,허가업체,1,17.0,0.0,0.0
대구광역시,2019,폐타이어,허가업체,1,819.0,749.0,74900.0
대구광역시,2019,폐식용유,허가업체,1,29.0,48.0,85488.0
대구광역시,2019,동·식물성잔재물,허가업체,8,19901.0,38880.0,26927571.0
대구광역시,2019,폐전기전자제품류,허가업체,2,662.0,226.0,493303.0
대구광역시,2019,폐목재류,허가업체,38,54461.0,67158.0,225948.0
대구광역시,2019,폐토사류,허가업체,1,267.0,0.0,0.0
대구광역시,2019,폐콘크리트류,허가업체,2,120.0,0.0,0.0
대구광역시,2019,폐섬유류,허가업체,20,10351.0,4079.0,5055092.0
대구광역시,2019,폐지류,허가업체,5,385.0,0.0,0.0
대구광역시,2019,폐금속류,허가업체,6,577.0,764.0,792669.0
대구광역시,2019,폐유리류,허가업체,3,13871.0,14423.0,1414983.0
대구광역시,2019,"폐타일, 폐판넬",허가업체,4,1394.0,233.0,0.0
대구광역시,2019,음식물류폐기물 및 처리물,허가업체,1,1568.0,1568.0,0.0
대구광역시,2019,"폐소화기류, 폐차발생폐기물",허가업체,5,2347.0,18499.0,0.0
대구광역시,2019,그 밖의 폐기물,허가업체,25,22016.0,20192.0,0.0
대구광역시,2019,폐합성고분자화합물,허가업체,3,1264.0,1098.0,887031.0
대구광역시,2019,오니류,허가업체,2,889.0,1034.0,2560097.0
대구광역시,2019,폐산,허가업체,6,1451.0,1211.0,3094698.0
대구광역시,2019,광재(鑛滓),허가업체,1,803.0,0.0,0.0
대구광역시,2019,분진,허가업체,1,173.0,0.0,0.0
대구광역시,2019,폐페인트 및 폐락카,허가업체,1,0.0,0.0,0.0
대구광역시,2019,폐유,허가업체,16,6246.0,1603.0,2115985.0
대구광역시,2019,음식물류 폐기물,허가업체,1,12903.0,12980.0,0.0
대구광역시,2019,폐지류(종이팩을 포함한다),허가업체,0,0.0,0.0,0.0
대구광역시,2019,고철 및 금속캔류,허가업체,2,1464.0,1457.0,1658772.0
대구광역시,2019,폐합성수지,허가업체,2,12769.0,5095.0,616851.0
대구광역시,2019,유리병 및 폐유리,허가업체,1,2192.0,2192.0,8768.0
대구광역시,2019,"폐타일 및 도자기류, 폐형광등",허가업체,1,3.0,0.0,0.0
대전광역시,2019,유기성오니류,허가업체,0,0.0,0.0,0.0
대전광역시,2019,무기성오니류,허가업체,0,0.0,0.0,0.0
대전광역시,2019,폐합성고분자화합물,허가업체,34,24513.0,22563.0,2464443.0
대전광역시,2019,동·식물성잔재물,허가업체,1,567.0,0.0,0.0
대전광역시,2019,폐목재류,허가업체,4,158.0,0.0,0.0
대전광역시,2019,폐아스팔트콘크리트,허가업체,5,26640.0,23600.0,1315443.0
대전광역시,2019,폐섬유류,허가업체,1,11.0,0.0,0.0
대전광역시,2019,폐지류,허가업체,1,187.0,0.0,0.0
대전광역시,2019,폐금속류,허가업체,0,0.0,0.0,0.0
대전광역시,2019,폐유리류,허가업체,1,9.0,0.0,0.0
대전광역시,2019,음식물류폐기물 및 처리물,허가업체,8,26883.0,3526.0,0.0
대전광역시,2019,그 밖의 폐기물,허가업체,3,772.0,0.0,0.0
대전광역시,2019,폐산,허가업체,11,21891.0,42415.0,2517676.0
대전광역시,2019,폐알칼리,허가업체,2,3469.0,3307.0,77857.0
대전광역시,2019,폐유기용제,허가업체,1,509.0,21.0,0.0
대전광역시,2019,폐유,허가업체,5,168.0,19.0,0.0
대전광역시,2019,폐지류(종이팩을 포함한다),허가업체,4,9542.0,9542.0,1056998.0
대전광역시,2019,고철 및 금속캔류,허가업체,4,1385.0,1385.0,213324.0
대전광역시,2019,폐합성수지,허가업체,3,9222.0,9414.0,463162.0
대전광역시,2019,유리병 및 폐유리,허가업체,4,3219.0,3227.0,64159.0
대전광역시,2019,동물성 잔재물,허가업체,0,0.0,0.0,0.0
부산광역시,2019,유기성오니류,허가업체,0,0.0,0.0,0.0
부산광역시,2019,무기성오니류,허가업체,16,67194.0,78596.0,2380171.0
부산광역시,2019,폐합성고분자화합물,허가업체,65,83899.0,60688.0,16192584.0
부산광역시,2019,광재류,허가업체,18,176038.0,154545.0,11079472.0
부산광역시,2019,분진류,허가업체,8,9049.0,7566.0,4239055.0
부산광역시,2019,폐주물사 및 폐사,허가업체,8,60756.0,550.0,76958.0
부산광역시,2019,폐내화물 및 폐도자기조각,허가업체,3,6465.0,0.0,0.0
부산광역시,2019,소각재,허가업체,2,1344.0,0.0,0.0
부산광역시,2019,폐촉매,허가업체,1,1629.0,10098.0,849178.0
부산광역시,2019,폐흡착제 및 폐흡수제,허가업체,2,1926.0,1917.0,6236.0
부산광역시,2019,연소잔재물,허가업체,1,6399.0,0.0,0.0
부산광역시,2019,폐석재류,허가업체,1,48.0,0.0,0.0
부산광역시,2019,폐타이어,허가업체,1,400.0,400.0,186907.0
부산광역시,2019,폐식용유,허가업체,1,9.0,9.0,6272.0
부산광역시,2019,동·식물성잔재물,허가업체,21,55993.0,29028.0,47485254.0
부산광역시,2019,폐전기전자제품류,허가업체,14,20526.0,20721.0,18430670.0
부산광역시,2019,폐목재류,허가업체,47,50459.0,46339.0,1592933.0
부산광역시,2019,폐토사류,허가업체,2,2864.0,0.0,0.0
부산광역시,2019,"폐콘크리트류, 폐벽돌",허가업체,2,108.0,0.0,0.0
부산광역시,2019,폐섬유류,허가업체,7,265.0,102.0,831761.0
부산광역시,2019,폐지류,허가업체,2,13126.0,13232.0,1988826.0
부산광역시,2019,폐금속류,허가업체,4,23944.0,25854.0,1628986.0
부산광역시,2019,"폐보드류, 폐판넬",허가업체,2,1812.0,1752.0,0.0
부산광역시,2019,폐냉매물질,허가업체,5,40.0,14.0,54080.0
부산광역시,2019,음식물류폐기물 및 처리물,허가업체,12,59070.0,22814.0,0.0
부산광역시,2019,그 밖의 폐기물,허가업체,40,60345.0,21599.0,1259559.0
부산광역시,2019,폐합성고분자화합물,허가업체,8,7348.0,6352.0,4270056.0
부산광역시,2019,폐산,허가업체,5,1817.0,1418.0,423731.0
부산광역시,2019,광재(鑛滓),허가업체,1,173.0,11.0,0.0
부산광역시,2019,폐유기용제,허가업체,6,7688.0,6331.0,7594554.0
부산광역시,2019,폐유,허가업체,8,24661.0,2295.0,1748657.0
부산광역시,2019,음식물류 폐기물,허가업체,1,9716.0,8499.0,0.0
부산광역시,2019,폐지류(종이팩을 포함한다),허가업체,0,0.0,0.0,0.0
부산광역시,2019,고철 및 금속캔류,허가업체,0,0.0,0.0,0.0
부산광역시,2019,폐합성수지,허가업체,1,192.0,192.0,55504.0
부산광역시,2019,유리병 및 폐유리,허가업체,0,0.0,0.0,0.0
부산광역시,2019,폐의류 및 원단류,허가업체,0,0.0,0.0,0.0
부산광역시,2019,폐전기전자제품,허가업체,1,137.0,137.0,30125.0
서울특별시,2019,폐합성고분자화합물,허가업체,16,36136.0,15811.0,2767986.0
서울특별시,2019,폐아스팔트콘크리트,허가업체,1,13501.0,13326.0,570700.0
서울특별시,2019,폐금속류,허가업체,2,5868.0,4083.0,1936476.0
서울특별시,2019,음식물류폐기물 및 처리물,허가업체,1,14264.0,0.0,0.0
